Oshawa — Historical Availability Rates by Bedroom Type  
2004 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2004 October,**,,**,,**,,**,,**,,
2005 October,3.3,d ,4.5,b ,4.9,b ,3.9,b ,4.6,a ,
2006 October,5.3,d ,6.2,b ,6.5,b ,5.1,b ,6.2,a ,
2007 October,3.0,c ,5.7,b ,5.6,b ,5.4,b ,5.5,a ,
2008 October,6.0,c ,5.7,a ,5.5,a ,7.3,b ,5.8,a ,
2009 October,9.7,c ,5.7,a ,5.9,a ,6.5,a ,6.0,a ,
2010 October,2.5,c ,5.3,a ,4.7,a ,3.7,b ,4.6,a ,
2011 October,2.1,c ,3.4,b ,3.2,a ,2.4,a ,3.1,a ,
2012 October,3.6,d ,3.3,b ,3.6,b ,3.2,b ,3.5,a ,
2013 October,1.5,c ,3.3,b ,2.7,a ,3.5,c ,3.0,a ,
2014 October,3.8,d ,2.5,a ,3.0,a ,3.4,a ,2.9,a ,
2015 October,1.3,a ,1.9,b ,2.7,a ,2.4,a ,2.4,a ,
2016 October,**,,2.5,a ,2.3,a ,2.0,b ,2.4,a ,
2017 October,1.5,c ,3.3,b ,2.4,a ,1.7,a ,2.6,a ,
2018 October,**,,**,,**,,**,,**,,
2019 October,**,,**,,**,,**,,**,,
2020 October,**,,**,,**,,**,,**,,
2021 October,**,,**,,**,,**,,**,,
2022 October,**,,**,,**,,**,,**,,
2023 October,**,,**,,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
