Greater Sudbury / Grand Sudbury — Historical Availability Rates by Bedroom Type  
2004 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2004 October,**,,**,,**,,**,,**,,
2005 October,6.8,b ,4.7,b ,2.9,a ,3.9,b ,3.8,a ,
2006 October,5.8,c ,2.3,a ,1.5,a ,2.1,b ,2.1,a ,
2007 October,2.9,b ,1.6,b ,1.0,a ,0.8,a ,1.3,a ,
2008 October,3.3,c ,1.7,b ,1.3,a ,1.3,a ,1.5,a ,
2009 October,7.5,c ,3.2,b ,2.9,a ,2.2,b ,3.2,a ,
2010 October,7.9,c ,4.5,c ,3.2,b ,2.5,a ,3.8,b ,
2011 October,**,,3.2,c ,2.4,a ,2.4,b ,2.9,a ,
2012 October,5.4,c ,5.0,b ,2.6,a ,4.3,c ,3.7,b ,
2013 October,4.8,c ,3.8,b ,4.8,b ,4.0,c ,4.4,a ,
2014 October,6.3,c ,5.4,b ,4.9,b ,4.8,c ,5.2,a ,
2015 October,**,,4.6,b ,3.3,b ,4.9,c ,4.2,a ,
2016 October,**,,6.1,b ,5.5,b ,8.9,c ,6.2,a ,
2017 October,**,,4.9,c ,4.4,a ,4.2,c ,4.6,a ,
2018 October,**,,**,,**,,**,,**,,
2019 October,**,,**,,**,,**,,**,,
2020 October,**,,**,,**,,**,,**,,
2021 October,**,,**,,**,,**,,**,,
2022 October,**,,**,,**,,**,,**,,
2023 October,**,,**,,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
