Charlottetown — Historical Availability Rates by Bedroom Type  
2004 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2004 October,**,,**,,**,,**,,**,,
2005 October,6.0,d ,6.2,c ,6.7,b ,19.1,d ,7.7,b ,
2006 October,**,,5.5,c ,7.2,b ,15.7,d ,7.7,a ,
2007 October,6.9,b ,6.5,a ,5.5,a ,7.1,a ,6.0,a ,
2008 October,5.6,c ,4.2,b ,3.8,a ,4.2,c ,4.0,a ,
2009 October,4.8,d ,5.8,b ,4.8,b ,2.8,b ,4.9,a ,
2010 October,5.0,d ,2.4,b ,3.6,b ,2.0,b ,3.2,b ,
2011 October,5.3,d ,4.7,b ,4.2,a ,4.3,b ,4.4,a ,
2012 October,4.2,d ,4.3,b ,8.0,a ,9.5,b ,7.1,a ,
2013 October,**,,7.3,b ,10.1,a ,9.2,b ,9.2,a ,
2014 October,5.3,d ,6.1,b ,6.6,a ,6.2,c ,6.4,a ,
2015 October,**,,3.8,c ,5.0,c ,1.9,c ,4.3,b ,
2016 October,**,,2.7,b ,2.5,b ,4.9,c ,2.8,a ,
2017 October,0.0,d ,1.3,a ,1.2,a ,1.8,c ,1.2,a ,
2018 October,**,,**,,**,,**,,**,,
2019 October,**,,**,,**,,**,,**,,
2020 October,**,,**,,**,,**,,**,,
2021 October,**,,**,,**,,**,,**,,
2022 October,**,,**,,**,,**,,**,,
2023 October,**,,**,,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
