Montréal — Historical Median Rent by Bedroom Type  
1998 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1998 October,350,a ,400,a ,470,a ,540,a ,450,a ,
1999 October,350,a ,410,a ,475,a ,560,a ,455,a ,
2000 October,350,a ,420,a ,475,a ,560,a ,460,a ,
2001 October,380,a ,435,a ,485,a ,560,a ,475,a ,
2002 October,390,a ,452,a ,500,a ,600,a ,500,a ,
2003 October,400,a ,485,a ,520,a ,620,a ,510,a ,
2004 October,425,a ,500,a ,545,a ,640,a ,535,a ,
2005 October,430,a ,525,a ,570,a ,675,a ,550,a ,
2006 October,450,a ,550,a ,600,a ,700,a ,575,a ,
2007 October,455,a ,550,a ,600,a ,700,a ,585,a ,
2008 October,460,a ,550,a ,610,a ,700,a ,600,a ,
2009 October,480,a ,561,a ,625,a ,725,a ,600,a ,
2010 October,495,a ,595,a ,650,a ,780,a ,640,a ,
2011 October,515,a ,600,a ,660,a ,790,a ,650,a ,
2012 October,500,a ,600,a ,660,a ,800,a ,650,a ,
2013 October,525,a ,600,a ,675,a ,800,a ,650,a ,
2014 October,530,a ,606,a ,695,a ,805,a ,670,a ,
2015 October,530,a ,620,a ,700,a ,850,a ,688,a ,
2016 October,550,a ,625,a ,720,a ,850,a ,700,a ,
2017 October,560,a ,650,a ,725,a ,875,a ,700,a ,
2018 October,583,a ,660,a ,750,a ,900,a ,740,a ,
2019 October,600,a ,700,a ,790,a ,963,a ,775,a ,
2020 October,650,a ,740,a ,810,a ,"1,000",a ,800,a ,
2021 October,674,a ,750,a ,844,a ,"1,000",a ,828,a ,
2022 October,725,a ,825,a ,920,a ,"1,150",b ,900,a ,
2023 October,760,a ,877,a ,980,a ,"1,273",a ,975,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
