Edmonton — Historical Median Rent by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,330,a ,398,a ,500,a ,589,a ,465,a ,
1991 October,350,a ,420,a ,529,a ,610,a ,485,a ,
1992 October,363,a ,425,a ,540,a ,625,a ,495,a ,
1993 October,370,a ,425,a ,540,a ,630,a ,490,a ,
1994 October,360,a ,420,a ,516,a ,599,a ,475,a ,
1995 October,350,a ,408,a ,505,a ,595,a ,465,a ,
1996 October,350,a ,400,a ,500,a ,595,a ,463,a ,
1997 October,350,a ,410,a ,510,a ,599,a ,470,a ,
1998 October,380,a ,435,a ,545,a ,625,a ,500,a ,
1999 October,400,a ,450,a ,565,a ,650,a ,520,a ,
2000 October,422,a ,475,a ,585,a ,675,a ,545,a ,
2001 October,450,a ,525,a ,650,a ,725,a ,595,a ,
2002 October,480,a ,555,a ,688,a ,775,a ,640,a ,
2003 October,495,a ,570,a ,697,a ,770,a ,650,a ,
2004 October,495,a ,575,a ,695,a ,769,a ,650,a ,
2005 October,500,a ,580,a ,700,a ,779,a ,655,a ,
2006 October,550,a ,630,a ,789,a ,895,a ,725,a ,
2007 October,650,a ,774,a ,950,a ,"1,069",a ,864,a ,
2008 October,700,a ,850,a ,"1,025",a ,"1,174",a ,949,a ,
2009 October,695,a ,825,a ,999,a ,"1,145",a ,900,a ,
2010 October,700,a ,830,a ,999,a ,"1,179",a ,920,a ,
2011 October,700,a ,849,a ,"1,025",a ,"1,185",a ,939,a ,
2012 October,749,a ,860,a ,"1,050",a ,"1,215",a ,965,a ,
2013 October,795,a ,900,a ,"1,140",a ,"1,299",a ,"1,039",a ,
2014 October,850,a ,975,a ,"1,239",a ,"1,389",a ,"1,113",a ,
2015 October,875,a ,999,a ,"1,260",a ,"1,409",a ,"1,150",a ,
2016 October,850,a ,974,a ,"1,229",a ,"1,395",a ,"1,125",a ,
2017 October,830,a ,950,a ,"1,209",a ,"1,375",a ,"1,100",a ,
2018 October,850,a ,995,a ,"1,239",a ,"1,388",a ,"1,150",a ,
2019 October,870,a ,"1,000",a ,"1,249",a ,"1,395",a ,"1,160",a ,
2020 October,875,a ,"1,000",a ,"1,250",a ,"1,389",a ,"1,169",a ,
2021 October,869,a ,"1,013",a ,"1,250",a ,"1,410",a ,"1,175",a ,
2022 October,890,a ,"1,050",a ,"1,289",a ,"1,450",a ,"1,208",a ,
2023 October,925,a ,"1,100",a ,"1,375",a ,"1,509",a ,"1,289",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
