Ottawa — Historical Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,407,a ,509,a ,639,a ,745,a ,591,a ,
1991 October,435,a ,542,a ,671,a ,775,a ,619,a ,
1992 October,457,a ,571,a ,699,a ,818,a ,649,a ,
1993 October,465,a ,591,a ,725,a ,845,a ,669,a ,
1994 October,484,a ,600,a ,738,a ,864,a ,682,a ,
1995 October,489,a ,603,a ,738,a ,866,a ,685,a ,
1996 October,483,a ,600,a ,739,a ,865,a ,683,a ,
1997 October,483,a ,603,a ,730,a ,866,a ,678,a ,
1998 October,493,a ,614,a ,754,a ,891,a ,695,a ,
1999 October,513,a ,637,a ,783,a ,923,a ,721,a ,
2000 October,572,a ,722,a ,882,a ,"1,059",a ,814,a ,
2001 October,622,a ,762,a ,916,a ,"1,063",a ,847,a ,
2002 October,623,a ,767,a ,931,a ,"1,088",a ,859,a ,
2003 October,627,a ,767,a ,933,a ,"1,116",a ,863,a ,
2004 October,623,a ,771,a ,941,a ,"1,096",a ,865,a ,
2005 October,628,a ,762,a ,922,a ,"1,102",a ,857,a ,
2006 October,633,a ,773,a ,941,a ,"1,097",a ,867,a ,
2007 October,643,a ,798,a ,962,a ,"1,124",a ,888,a ,
2008 October,671,a ,827,a ,994,a ,"1,162",a ,920,a ,
2009 October,688,a ,853,a ,"1,029",a ,"1,206",a ,951,a ,
2010 October,715,a ,877,a ,"1,049",a ,"1,227",a ,971,a ,
2011 October,728,a ,899,a ,"1,086",a ,"1,256",a ,"1,000",a ,
2012 October,754,a ,916,a ,"1,115",a ,"1,295",a ,"1,022",a ,
2013 October,766,a ,932,a ,"1,132",a ,"1,320",a ,"1,041",a ,
2014 October,780,a ,936,a ,"1,131",a ,"1,320",a ,"1,044",a ,
2015 October,801,a ,972,a ,"1,174",a ,"1,329",a ,"1,078",a ,
2016 October,812,a ,982,a ,"1,201",a ,"1,372",a ,"1,097",a ,
2017 October,836,a ,"1,022",a ,"1,231",a ,"1,435",a ,"1,136",a ,
2018 October,881,a ,"1,088",a ,"1,297",a ,"1,468",a ,"1,195",a ,
2019 October,933,a ,"1,178",a ,"1,409",a ,"1,624",a ,"1,302",a ,
2020 October,"1,001",a ,"1,243",a ,"1,513",a ,"1,703",a ,"1,379",a ,
2021 October,"1,061",a ,"1,280",a ,"1,547",a ,"1,779",a ,"1,428",a ,
2022 October,"1,121",a ,"1,347",a ,"1,627",a ,"1,769",a ,"1,479",a ,
2023 October,"1,173",a ,"1,409",a ,"1,693",a ,"1,893",a ,"1,553",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
