Charlottetown — Historical Median Rent by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,340,a ,395,a ,495,a ,546,a ,458,a ,
1991 October,334,a ,400,a ,510,a ,570,a ,470,a ,
1992 October,334,a ,400,a ,512,a ,590,a ,475,a ,
1993 October,338,a ,400,a ,520,a ,575,b ,479,a ,
1994 October,330,a ,410,a ,525,a ,595,b ,485,a ,
1995 October,350,b ,425,a ,525,a ,625,b ,485,a ,
1996 October,360,b ,425,a ,525,a ,625,a ,490,a ,
1997 October,360,a ,425,a ,535,a ,650,a ,495,a ,
1998 October,360,a ,430,a ,535,a ,650,a ,500,a ,
1999 October,350,b ,425,a ,535,a ,700,b ,500,a ,
2000 October,360,a ,425,a ,535,a ,700,b ,519,a ,
2001 October,350,b ,435,a ,550,a ,700,a ,532,a ,
2002 October,360,b ,460,a ,567,a ,695,a ,540,a ,
2003 October,400,b ,460,a ,580,a ,745,a ,550,a ,
2004 October,400,c ,480,a ,590,a ,750,a ,560,a ,
2005 October,400,b ,480,a ,588,a ,832,a ,567,a ,
2006 October,425,a ,500,a ,620,a ,825,a ,600,a ,
2007 October,440,a ,515,a ,640,a ,775,a ,607,a ,
2008 October,430,a ,525,a ,650,a ,875,a ,625,a ,
2009 October,450,a ,550,a ,682,a ,895,a ,652,a ,
2010 October,475,a ,555,a ,705,a ,895,a ,675,a ,
2011 October,495,a ,575,a ,724,a ,950,a ,695,a ,
2012 October,520,b ,600,a ,760,a ,994,a ,750,a ,
2013 October,525,b ,624,a ,775,a ,956,a ,754,a ,
2014 October,505,a ,633,a ,785,a ,950,a ,765,a ,
2015 October,500,b ,652,a ,797,a ,985,a ,775,a ,
2016 October,560,b ,670,a ,830,a ,995,a ,800,a ,
2017 October,570,b ,700,a ,850,a ,"1,010",a ,825,a ,
2018 October,573,b ,707,a ,854,a ,"1,060",a ,834,a ,
2019 October,550,b ,726,a ,875,a ,"1,100",a ,853,a ,
2020 October,622,c ,780,b ,893,a ,"1,168",a ,876,a ,
2021 October,593,c ,809,a ,970,a ,"1,180",a ,939,a ,
2022 October,570,c ,850,a ,990,a ,"1,233",a ,975,a ,
2023 October,635,c ,875,b ,"1,010",b ,"1,136",b ,997,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
