Hamilton — Historical % Change of Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,**,,5.5,b ,5.6,b ,6.2,c ,5.3,b ,
1992 October,3.5,d ,5.1,b ,4.9,b ,4.1,c ,4.4,b ,
1993 October,**,,3.7,c ,4.1,b ,3.9,c ,3.8,b ,
1994 October,3.0,d ,2.4,c ,1.9,c ,2.0,c ,2.1,b ,
1995 October,3.7,d ,3.2,d ,2.4,c ,1.8,c ,2.7,c ,
1996 October,++,,++,,1.8,c ,3.5,c ,++,,
1997 October,++,,2.7,b ,2.9,b ,**,,2.4,b ,
1998 October,++,,4.7,c ,4.2,b ,4.5,d ,4.0,b ,
1999 October,**,,4.1,b ,3.7,b ,3.7,d ,3.7,b ,
2000 October,**,,3.7,c ,4.3,b ,4.7,c ,4.5,b ,
2001 October,3.9,d ,4.9,b ,3.8,b ,4.0,c ,4.0,b ,
2002 October,3.9,d ,3.1,c ,3.0,b ,2.6,c ,3.1,c ,
2003 October,2.8,c ,1.6,c ,1.4,a ,1.3,d ,1.4,a ,
2004 October,**,,**,,1.5,a ,++,,0.9,a ,
2005 October,++,,++,,++,,++,,++,,
2006 October,1.4,d ,0.9,a ,1.1,a ,2.2,c ,1.4,a ,
2007 October,2.4,b ,1.1,a ,1.3,a ,1.6,b ,1.4,a ,
2008 October,2.5,b ,1.5,a ,1.5,b ,1.7,a ,1.4,a ,
2009 October,++,,1.5,a ,1.2,a ,0.9,a ,1.3,a ,
2010 October,2.0,c ,1.3,a ,1.1,a ,1.7,c ,1.2,a ,
2011 October,1.1,a ,1.4,a ,1.4,a ,2.0,b ,1.6,b ,
2012 October,4.6,d ,3.1,a ,3.1,a ,2.3,b ,3.0,a ,
2013 October,3.5,c ,3.0,a ,3.0,a ,3.1,a ,3.1,a ,
2014 October,1.7,c ,2.9,a ,2.8,a ,2.2,a ,2.7,a ,
2015 October,4.1,d ,3.8,b ,3.7,b ,3.4,b ,3.8,b ,
2016 October,7.0,c ,5.2,b ,4.7,c ,6.2,c ,5.0,b ,
2017 October,++,,5.2,b ,5.6,c ,5.1,c ,5.2,b ,
2018 October,**,,4.7,b ,3.3,c ,4.5,c ,3.7,b ,
2019 October,6.8,b ,6.6,b ,4.6,b ,5.1,b ,5.4,b ,
2020 October,4.5,c ,5.3,b ,4.9,b ,3.6,b ,5.2,b ,
2021 October,**,,4.1,b ,3.8,b ,1.8,c ,3.7,b ,
2022 October,4.0,c ,5.2,a ,5.4,a ,5.2,b ,5.4,a ,
2023 October,14.0,d ,12.3,a ,13.6,a ,7.7,b ,12.6,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
