London — Historical % Change of Average Rents by Bedroom Type  
1998 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1998 October,**,,0.7,a ,1.1,a ,1.2,d ,0.6,a ,
1999 October,++,,1.0,a ,1.3,a ,++,,1.2,a ,
2000 October,1.3,d ,2.0,a ,1.9,a ,1.8,b ,2.4,a ,
2001 October,4.6,c ,2.8,a ,3.0,a ,2.6,b ,2.8,a ,
2002 October,3.6,c ,4.3,a ,3.6,a ,3.4,b ,4.0,a ,
2003 October,2.5,b ,2.5,a ,2.8,a ,2.8,a ,2.6,a ,
2004 October,2.8,a ,3.2,a ,2.7,a ,2.5,a ,2.9,a ,
2005 October,2.4,a ,2.0,a ,1.6,a ,1.4,a ,1.7,a ,
2006 October,2.1,b ,2.3,a ,1.7,a ,1.4,a ,2.0,a ,
2007 October,1.6,b ,2.2,a ,2.4,a ,2.2,b ,2.4,a ,
2008 October,3.0,b ,1.7,a ,1.2,a ,1.1,a ,1.2,a ,
2009 October,2.1,b ,1.4,a ,1.2,a ,1.9,a ,1.3,a ,
2010 October,1.2,a ,1.1,a ,1.1,a ,1.5,a ,1.1,a ,
2011 October,2.0,b ,0.8,a ,0.8,a ,**,,0.8,a ,
2012 October,3.2,b ,2.6,a ,2.4,a ,1.9,a ,2.3,a ,
2013 October,2.2,a ,1.8,a ,1.7,a ,1.5,b ,1.8,a ,
2014 October,1.1,a ,1.1,a ,1.0,a ,0.9,a ,1.1,a ,
2015 October,1.8,b ,2.2,a ,2.4,a ,2.4,a ,2.3,a ,
2016 October,2.5,b ,1.9,a ,1.8,a ,2.4,b ,1.8,a ,
2017 October,4.4,b ,3.3,b ,3.0,b ,3.7,b ,3.3,b ,
2018 October,6.1,c ,4.5,a ,4.1,a ,5.4,b ,4.4,a ,
2019 October,3.4,d ,5.5,a ,4.9,a ,2.4,c ,4.9,a ,
2020 October,8.5,c ,7.5,a ,7.1,a ,5.6,c ,7.2,a ,
2021 October,5.0,d ,3.3,b ,2.7,a ,++,,2.7,a ,
2022 October,7.0,c ,6.2,a ,5.9,a ,4.6,b ,6.0,a ,
2023 October,**,,6.5,a ,5.9,a ,5.1,b ,6.0,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
