Calgary — Historical % Change of Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,**,,2.8,b ,2.7,a ,2.9,c ,2.7,a ,
1992 October,**,,++,,-0.8,a ,++,,-0.5,b ,
1993 October,**,,-0.9,a ,-1.7,b ,-4.5,d ,-1.4,a ,
1994 October,++,,++,,++,,++,,++,,
1995 October,++,,++,,0.8,d ,2.3,c ,0.7,b ,
1996 October,3.7,d ,2.4,b ,2.0,b ,++,,2.2,b ,
1997 October,8.0,c ,8.0,a ,7.4,b ,**,,7.4,a ,
1998 October,12.9,d ,14.2,a ,14.1,a ,13.2,c ,13.9,a ,
1999 October,4.0,d ,2.5,b ,1.6,c ,++,,2.1,b ,
2000 October,2.8,c ,1.1,a ,1.0,a ,++,,1.1,a ,
2001 October,5.2,c ,7.3,b ,6.2,b ,**,,6.4,a ,
2002 October,4.0,d ,2.2,b ,2.6,a ,++,,2.4,a ,
2003 October,++,,++,,++,,++,,++,,
2004 October,++,,++,,++,,++,,++,,
2005 October,1.1,d ,1.5,a ,1.1,a ,1.6,c ,1.2,a ,
2006 October,15.4,d ,17.9,a ,19.0,a ,15.6,d ,17.9,a ,
2007 October,12.7,c ,15.6,a ,15.2,a ,15.9,a ,15.3,a ,
2008 October,8.7,c ,5.0,b ,4.6,b ,5.8,b ,4.9,b ,
2009 October,-4.4,c ,-4.1,b ,-3.8,b ,++,,-3.7,b ,
2010 October,-2.5,c ,-2.4,a ,-2.6,a ,-4.4,c ,-2.4,a ,
2011 October,2.0,c ,1.8,a ,1.8,a ,++,,1.6,a ,
2012 October,7.3,c ,6.2,a ,5.9,a ,4.0,b ,6.0,a ,
2013 October,**,,7.8,a ,7.0,a ,3.8,c ,7.6,a ,
2014 October,4.9,d ,7.1,a ,6.0,a ,5.8,b ,6.4,a ,
2015 October,++,,++,,++,,++,,0.4,b ,
2016 October,-8.2,b ,-7.5,a ,-7.3,a ,-4.3,c ,-7.3,a ,
2017 October,++,,-1.9,b ,-0.9,a ,**,,-1.4,a ,
2018 October,1.5,d ,1.5,a ,1.6,b ,++,,1.7,a ,
2019 October,2.3,b ,2.0,a ,2.2,a ,1.4,a ,1.8,a ,
2020 October,++,,++,,0.4,a ,1.2,d ,0.4,a ,
2021 October,-1.1,d ,++,,++,,++,,++,,
2022 October,6.8,b ,7.5,b ,6.2,a ,3.3,d ,6.8,a ,
2023 October,13.9,d ,14.3,a ,14.1,a ,11.7,c ,14.4,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
