Calgary — Historical Median Rent by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,350,a ,450,a ,580,a ,650,a ,525,a ,
1991 October,360,a ,465,a ,585,a ,650,a ,545,a ,
1992 October,360,a ,463,a ,580,a ,640,a ,538,a ,
1993 October,355,a ,450,a ,575,a ,625,a ,525,a ,
1994 October,350,a ,450,a ,570,a ,625,a ,525,a ,
1995 October,350,a ,450,a ,575,a ,625,a ,520,a ,
1996 October,355,a ,460,a ,580,a ,625,a ,530,a ,
1997 October,375,a ,500,a ,625,a ,660,a ,565,a ,
1998 October,430,b ,575,a ,720,a ,725,a ,640,a ,
1999 October,440,b ,592,a ,730,a ,750,a ,650,a ,
2000 October,460,b ,600,a ,736,a ,760,a ,670,a ,
2001 October,475,a ,650,a ,780,a ,800,a ,700,a ,
2002 October,510,b ,650,a ,795,a ,825,a ,719,a ,
2003 October,500,a ,650,a ,785,a ,830,a ,720,a ,
2004 October,515,a ,650,a ,790,a ,800,a ,700,a ,
2005 October,525,a ,650,a ,795,a ,815,a ,723,a ,
2006 October,600,b ,750,a ,905,a ,920,a ,829,a ,
2007 October,650,a ,875,a ,"1,084",a ,"1,075",a ,950,a ,
2008 October,800,a ,950,a ,"1,149",a ,"1,190",a ,"1,025",a ,
2009 October,700,a ,900,a ,"1,075",a ,"1,125",a ,995,a ,
2010 October,710,a ,885,a ,"1,050",a ,"1,149",a ,950,a ,
2011 October,700,a ,900,a ,"1,060",a ,"1,149",a ,975,a ,
2012 October,795,a ,950,a ,"1,150",a ,"1,195",a ,"1,031",a ,
2013 October,850,a ,"1,029",a ,"1,200",a ,"1,245",a ,"1,119",a ,
2014 October,900,a ,"1,125",a ,"1,300",a ,"1,309",a ,"1,209",a ,
2015 October,950,a ,"1,100",a ,"1,299",a ,"1,350",a ,"1,200",a ,
2016 October,856,a ,"1,000",a ,"1,204",a ,"1,290",a ,"1,120",a ,
2017 October,810,a ,959,a ,"1,200",a ,"1,275",a ,"1,099",a ,
2018 October,850,a ,"1,000",a ,"1,225",a ,"1,300",a ,"1,115",a ,
2019 October,900,a ,"1,049",a ,"1,275",a ,"1,350",a ,"1,150",a ,
2020 October,890,a ,"1,050",a ,"1,295",a ,"1,350",a ,"1,180",a ,
2021 October,910,a ,"1,075",a ,"1,300",a ,"1,400",a ,"1,195",a ,
2022 October,950,a ,"1,175",a ,"1,400",a ,"1,499",a ,"1,299",a ,
2023 October,"1,188",a ,"1,380",a ,"1,599",a ,"1,702",a ,"1,500",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
