Québec — Historical % Change of Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,4.0,d ,4.1,c ,2.8,c ,3.8,b ,3.4,b ,
1992 October,3.7,d ,3.6,b ,3.7,b ,4.0,c ,3.4,b ,
1993 October,**,,**,,1.2,a ,**,,0.6,b ,
1994 October,++,,-0.8,d ,-1.1,a ,++,,-0.6,b ,
1995 October,++,,++,,2.0,c ,0.8,d ,0.9,a ,
1996 October,++,,++,,++,,++,,++,,
1997 October,++,,++,,0.7,b ,++,,0.5,b ,
1998 October,-1.6,c ,0.8,d ,++,,++,,++,,
1999 October,3.3,d ,++,,++,,++,,++,,
2000 October,**,,2.2,c ,2.2,c ,2.1,c ,2.3,b ,
2001 October,3.0,c ,3.7,c ,4.2,c ,2.9,c ,3.0,c ,
2002 October,3.6,c ,3.2,c ,2.6,b ,3.0,c ,3.0,b ,
2003 October,4.1,d ,3.4,b ,3.6,b ,2.6,c ,3.3,b ,
2004 October,5.1,c ,4.0,c ,4.1,c ,3.9,b ,4.3,b ,
2005 October,4.3,d ,4.0,b ,**,,3.9,c ,4.3,b ,
2006 October,3.3,d ,2.7,a ,2.1,a ,1.9,c ,2.0,a ,
2007 October,2.3,c ,2.6,b ,2.7,a ,2.7,a ,2.6,a ,
2008 October,++,,1.6,b ,2.0,a ,2.1,b ,1.7,a ,
2009 October,4.7,b ,4.2,b ,3.5,c ,3.5,b ,3.7,b ,
2010 October,2.3,b ,2.5,a ,2.6,a ,2.2,b ,2.3,a ,
2011 October,4.2,b ,2.5,a ,3.0,b ,3.1,c ,3.0,a ,
2012 October,++,,1.9,b ,2.3,a ,1.9,b ,1.9,b ,
2013 October,1.8,b ,1.8,b ,1.0,a ,1.6,c ,1.6,b ,
2014 October,2.7,b ,2.5,b ,2.0,a ,1.2,a ,2.0,a ,
2015 October,2.4,c ,1.7,c ,1.3,a ,2.1,c ,1.4,a ,
2016 October,1.0,a ,1.1,a ,1.4,a ,2.1,c ,1.2,a ,
2017 October,1.1,a ,1.5,a ,2.0,c ,1.0,a ,1.3,a ,
2018 October,1.7,b ,1.1,a ,1.2,a ,1.1,a ,1.2,a ,
2019 October,2.7,a ,2.3,a ,1.9,a ,2.1,c ,1.9,a ,
2020 October,3.2,b ,3.2,b ,2.7,a ,3.0,a ,2.8,a ,
2021 October,2.7,b ,2.3,a ,2.1,a ,2.5,b ,2.4,a ,
2022 October,3.9,b ,2.9,a ,3.3,b ,2.6,a ,2.9,a ,
2023 October,4.0,c ,4.3,b ,4.8,b ,4.7,b ,4.4,b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
