Saskatoon — Historical Median Rent by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,270,a ,350,a ,430,a ,495,a ,399,a ,
1991 October,265,a ,350,a ,430,a ,500,a ,400,a ,
1992 October,272,a ,350,a ,430,a ,495,a ,395,a ,
1993 October,275,a ,350,a ,435,a ,495,a ,400,a ,
1994 October,275,a ,360,a ,440,a ,495,a ,407,a ,
1995 October,285,a ,365,a ,450,a ,510,a ,415,a ,
1996 October,300,a ,380,a ,465,a ,525,a ,440,a ,
1997 October,320,a ,395,a ,485,a ,550,a ,455,a ,
1998 October,320,a ,400,a ,500,a ,550,a ,470,a ,
1999 October,330,a ,425,a ,515,a ,595,a ,485,a ,
2000 October,345,a ,425,a ,525,a ,585,a ,490,a ,
2001 October,360,a ,450,a ,545,a ,595,a ,507,a ,
2002 October,360,a ,450,a ,550,a ,625,a ,520,a ,
2003 October,370,a ,455,a ,574,a ,636,a ,525,a ,
2004 October,370,a ,455,a ,570,a ,639,a ,525,a ,
2005 October,375,a ,460,a ,575,a ,640,a ,533,a ,
2006 October,385,a ,480,a ,585,a ,639,a ,550,a ,
2007 October,420,a ,530,a ,669,a ,720,a ,620,a ,
2008 October,500,a ,650,a ,839,a ,850,a ,750,a ,
2009 October,550,a ,725,a ,900,a ,925,a ,829,a ,
2010 October,595,a ,775,a ,930,a ,"1,075",a ,850,a ,
2011 October,620,a ,780,a ,950,a ,"1,199",a ,875,a ,
2012 October,650,a ,815,a ,975,a ,"1,150",a ,900,a ,
2013 October,675,a ,825,a ,"1,005",a ,"1,190",a ,944,a ,
2014 October,685,a ,850,a ,"1,050",a ,"1,250",a ,979,a ,
2015 October,675,a ,856,a ,"1,050",a ,"1,250",a ,990,a ,
2016 October,700,a ,875,a ,"1,095",a ,"1,250",a ,"1,000",a ,
2017 October,655,a ,850,a ,"1,079",a ,"1,282",a ,995,a ,
2018 October,675,a ,875,a ,"1,106",a ,"1,282",a ,"1,010",a ,
2019 October,695,a ,900,a ,"1,120",a ,"1,275",a ,"1,045",a ,
2020 October,725,a ,925,a ,"1,150",a ,"1,325",a ,"1,075",a ,
2021 October,750,a ,950,a ,"1,185",a ,"1,325",a ,"1,100",a ,
2022 October,760,a ,"1,020",a ,"1,257",a ,"1,412",a ,"1,169",a ,
2023 October,825,a ,"1,050",a ,"1,376",a ,"1,529",a ,"1,275",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
