Greater Sudbury / Grand Sudbury — Historical Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,339,b ,399,a ,488,a ,551,a ,455,a ,
1991 October,336,b ,440,a ,548,a ,608,a ,505,a ,
1992 October,379,a ,475,a ,594,a ,635,a ,545,a ,
1993 October,402,a ,485,a ,610,a ,658,a ,563,a ,
1994 October,398,a ,490,a ,610,a ,667,a ,567,a ,
1995 October,387,a ,489,a ,621,a ,686,a ,577,a ,
1996 October,394,a ,495,a ,624,a ,694,a ,581,a ,
1997 October,388,a ,506,a ,621,a ,690,a ,581,a ,
1998 October,387,a ,499,a ,625,a ,691,a ,583,a ,
1999 October,380,a ,491,a ,615,a ,672,a ,569,a ,
2000 October,375,a ,502,a ,621,a ,672,a ,580,a ,
2001 October,387,a ,500,a ,623,a ,686,a ,579,a ,
2002 October,387,a ,513,a ,649,a ,699,a ,598,a ,
2003 October,388,a ,524,a ,653,a ,701,a ,605,a ,
2004 October,393,a ,529,a ,658,a ,708,a ,608,a ,
2005 October,410,a ,544,a ,671,a ,732,a ,624,a ,
2006 October,419,a ,571,a ,708,a ,747,a ,653,a ,
2007 October,454,a ,609,a ,755,a ,786,a ,697,a ,
2008 October,485,a ,651,a ,808,a ,870,a ,746,a ,
2009 October,508,a ,677,a ,835,a ,890,a ,773,a ,
2010 October,510,a ,688,a ,846,a ,903,a ,785,a ,
2011 October,540,a ,712,a ,887,a ,946,a ,818,a ,
2012 October,575,a ,737,a ,923,a ,997,a ,853,a ,
2013 October,579,a ,741,a ,921,a ,960,a ,851,a ,
2014 October,577,a ,743,a ,938,a ,"1,014",a ,862,a ,
2015 October,610,a ,771,a ,962,a ,"1,051",a ,896,a ,
2016 October,600,a ,776,a ,998,a ,"1,054",a ,911,a ,
2017 October,659,a ,848,a ,"1,058",a ,"1,110",a ,982,a ,
2018 October,641,a ,855,a ,"1,066",a ,"1,126",a ,987,a ,
2019 October,676,a ,906,a ,"1,128",a ,"1,193",a ,"1,046",a ,
2020 October,699,a ,921,a ,"1,148",a ,"1,213",a ,"1,071",a ,
2021 October,749,b ,"1,030",a ,"1,293",a ,"1,401",b ,"1,195",a ,
2022 October,796,a ,931,b ,"1,248",a ,"1,359",b ,"1,145",a ,
2023 October,877,c ,"1,043",a ,"1,367",a ,"1,471",b ,"1,251",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
