Greater Sudbury / Grand Sudbury — Historical Median Rent by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,375,c ,390,a ,475,a ,570,a ,434,a ,
1991 October,332,c ,425,a ,529,a ,592,a ,492,a ,
1992 October,395,b ,450,a ,572,a ,628,a ,534,a ,
1993 October,420,a ,472,a ,600,a ,659,a ,550,a ,
1994 October,415,a ,475,a ,600,a ,679,a ,553,a ,
1995 October,400,a ,480,a ,600,a ,680,a ,570,a ,
1996 October,405,a ,490,a ,600,a ,680,a ,576,a ,
1997 October,385,a ,502,a ,605,a ,695,a ,585,a ,
1998 October,400,a ,500,a ,622,a ,680,a ,590,a ,
1999 October,370,b ,487,a ,600,a ,650,a ,580,a ,
2000 October,375,b ,499,a ,608,a ,662,a ,595,a ,
2001 October,390,a ,499,a ,610,a ,675,a ,595,a ,
2002 October,400,a ,495,a ,649,a ,675,a ,600,a ,
2003 October,400,a ,500,a ,650,a ,680,a ,607,a ,
2004 October,400,a ,520,a ,658,a ,690,a ,610,a ,
2005 October,410,a ,525,a ,665,a ,710,a ,625,a ,
2006 October,420,a ,550,a ,699,a ,700,a ,650,a ,
2007 October,440,a ,600,a ,733,a ,776,a ,695,a ,
2008 October,475,a ,650,a ,800,a ,850,a ,749,a ,
2009 October,500,b ,675,a ,820,a ,850,a ,754,a ,
2010 October,500,a ,675,a ,825,a ,875,a ,780,a ,
2011 October,550,a ,700,a ,890,a ,945,b ,806,a ,
2012 October,595,a ,725,a ,900,a ,995,a ,850,a ,
2013 October,600,a ,750,a ,900,a ,925,a ,850,a ,
2014 October,595,a ,750,a ,920,a ,"1,000",a ,850,a ,
2015 October,620,a ,750,a ,950,a ,"1,040",a ,897,a ,
2016 October,600,a ,750,a ,985,a ,"1,020",b ,900,a ,
2017 October,665,a ,850,a ,"1,000",a ,"1,075",b ,950,a ,
2018 October,650,b ,817,a ,"1,012",a ,"1,090",a ,950,a ,
2019 October,675,a ,865,a ,"1,100",a ,"1,192",b ,"1,000",a ,
2020 October,695,b ,888,a ,"1,142",a ,"1,200",a ,"1,025",a ,
2021 October,753,b ,985,b ,"1,300",a ,"1,352",b ,"1,200",a ,
2022 October,800,b ,862,b ,"1,200",b ,"1,330",b ,"1,100",a ,
2023 October,800,c ,950,b ,"1,300",a ,"1,500",b ,"1,200",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
