Saint John — Historical Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,293,a ,340,a ,402,a ,427,a ,381,a ,
1991 October,304,a ,352,a ,421,a ,445,a ,398,a ,
1992 October,311,a ,359,a ,429,a ,449,a ,405,a ,
1993 October,316,a ,369,a ,436,a ,464,a ,414,a ,
1994 October,316,a ,370,a ,439,a ,467,a ,418,a ,
1995 October,309,b ,364,a ,437,a ,470,a ,414,a ,
1996 October,318,a ,374,a ,441,a ,479,a ,421,a ,
1997 October,327,a ,378,a ,449,a ,484,a ,428,a ,
1998 October,321,b ,386,a ,452,a ,492,a ,435,a ,
1999 October,337,a ,396,a ,457,a ,499,a ,439,a ,
2000 October,336,a ,402,a ,460,a ,508,a ,444,a ,
2001 October,344,b ,406,a ,483,a ,522,a ,461,a ,
2002 October,359,b ,424,a ,492,a ,549,b ,477,a ,
2003 October,373,b ,423,a ,504,a ,544,a ,479,a ,
2004 October,366,a ,432,a ,520,a ,556,a ,496,a ,
2005 October,378,a ,441,a ,526,a ,584,a ,500,a ,
2006 October,388,a ,462,a ,556,a ,609,a ,527,a ,
2007 October,421,b ,493,a ,571,a ,646,a ,551,a ,
2008 October,430,a ,518,a ,620,a ,673,a ,589,a ,
2009 October,457,a ,541,a ,644,a ,689,a ,615,a ,
2010 October,464,a ,555,a ,646,a ,715,a ,622,a ,
2011 October,478,a ,572,a ,670,a ,758,a ,646,a ,
2012 October,486,a ,587,a ,691,a ,744,a ,662,a ,
2013 October,486,a ,582,a ,691,a ,774,a ,666,a ,
2014 October,493,a ,599,a ,713,a ,773,a ,682,a ,
2015 October,491,a ,600,a ,718,a ,795,a ,688,a ,
2016 October,494,b ,624,a ,720,a ,774,a ,695,a ,
2017 October,543,a ,623,a ,746,a ,773,a ,713,a ,
2018 October,526,b ,648,a ,755,a ,811,a ,727,a ,
2019 October,546,b ,698,b ,797,a ,813,a ,766,a ,
2020 October,567,b ,701,a ,825,a ,854,a ,790,a ,
2021 October,591,a ,753,a ,888,a ,956,a ,856,a ,
2022 October,666,b ,827,a ,"1,019",a ,"1,013",a ,959,a ,
2023 October,756,b ,912,a ,"1,093",a ,"1,081",b ,"1,034",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
