Oshawa — Historical % Change of Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,**,,4.5,d ,4.0,c ,3.9,c ,3.7,c ,
1992 October,++,,**,,1.6,c ,1.9,c ,1.3,a ,
1993 October,**,,2.6,c ,2.7,c ,3.4,c ,2.6,b ,
1994 October,++,,1.5,c ,1.0,a ,++,,0.8,a ,
1995 October,++,,2.0,b ,3.1,b ,2.2,c ,2.7,a ,
1996 October,++,,2.7,b ,1.7,c ,1.9,c ,2.0,b ,
1997 October,++,,++,,++,,++,,++,,
1998 October,11.9,d ,6.7,c ,6.6,b ,6.3,c ,6.7,b ,
1999 October,**,,2.7,b ,3.7,c ,3.3,d ,2.9,b ,
2000 October,++,,3.5,c ,3.4,c ,3.4,c ,3.5,b ,
2001 October,**,,3.2,c ,3.4,b ,3.7,c ,3.4,b ,
2002 October,++,,2.6,c ,2.7,b ,1.9,c ,2.6,b ,
2003 October,++,,5.1,d ,3.5,d ,3.4,d ,3.9,d ,
2004 October,++,,**,,++,,++,,0.8,d ,
2005 October,3.7,d ,0.9,d ,1.3,a ,2.4,c ,1.5,a ,
2006 October,++,,++,,0.4,b ,1.5,a ,0.6,a ,
2007 October,++,,2.2,b ,1.4,a ,++,,1.0,a ,
2008 October,2.9,c ,1.4,a ,1.2,a ,1.3,a ,1.3,a ,
2009 October,**,,1.1,a ,1.2,a ,2.1,b ,1.3,a ,
2010 October,2.8,c ,1.6,b ,0.9,a ,1.8,a ,1.5,b ,
2011 October,++,,1.3,a ,1.9,b ,1.6,b ,1.5,a ,
2012 October,++,,2.2,a ,1.6,a ,2.4,a ,1.9,a ,
2013 October,**,,3.0,c ,4.6,b ,5.8,c ,4.4,b ,
2014 October,2.9,c ,3.1,c ,2.8,b ,2.4,b ,2.7,b ,
2015 October,**,,1.6,c ,1.8,c ,2.5,c ,1.8,c ,
2016 October,4.4,d ,3.4,d ,5.0,d ,4.3,c ,4.5,d ,
2017 October,**,,8.0,c ,5.2,c ,3.9,d ,5.7,c ,
2018 October,++,,4.8,c ,6.0,b ,**,,4.7,b ,
2019 October,5.1,d ,5.5,c ,5.0,c ,**,,5.2,c ,
2020 October,5.0,d ,3.9,d ,4.2,d ,5.0,d ,4.1,c ,
2021 October,**,,**,,**,,**,,8.3,c ,
2022 October,**,,6.5,c ,7.1,c ,13.2,d ,7.5,c ,
2023 October,++,,**,,**,,++,,6.7,c ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
