Ottawa — Historical Median Rent by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,405,a ,500,a ,625,a ,720,a ,570,a ,
1991 October,430,a ,540,a ,662,a ,750,a ,600,a ,
1992 October,460,a ,570,a ,700,a ,810,a ,630,a ,
1993 October,465,a ,590,a ,710,a ,825,a ,650,a ,
1994 October,480,a ,600,a ,725,a ,840,a ,655,a ,
1995 October,499,a ,600,a ,730,a ,850,a ,660,a ,
1996 October,485,a ,594,a ,735,a ,850,a ,655,a ,
1997 October,490,a ,590,a ,704,a ,840,a ,660,a ,
1998 October,495,a ,600,a ,740,a ,860,a ,675,a ,
1999 October,515,a ,639,a ,769,a ,890,a ,699,a ,
2000 October,575,a ,715,a ,875,a ,"1,050",a ,780,a ,
2001 October,625,a ,769,a ,900,a ,"1,050",a ,830,a ,
2002 October,619,a ,767,a ,900,a ,"1,041",a ,825,a ,
2003 October,630,a ,750,a ,899,a ,"1,065",a ,829,a ,
2004 October,625,a ,750,a ,895,a ,"1,050",a ,825,a ,
2005 October,625,a ,740,a ,874,a ,"1,075",a ,820,a ,
2006 October,635,a ,750,a ,880,a ,"1,045",a ,830,a ,
2007 October,646,a ,769,a ,905,a ,"1,094",a ,850,a ,
2008 October,675,a ,800,a ,942,a ,"1,119",a ,874,a ,
2009 October,695,a ,825,a ,970,a ,"1,188",a ,899,a ,
2010 October,715,a ,850,a ,999,a ,"1,195",a ,925,a ,
2011 October,729,a ,869,a ,"1,031",a ,"1,225",a ,950,a ,
2012 October,750,a ,895,a ,"1,069",a ,"1,269",a ,966,a ,
2013 October,775,a ,900,a ,"1,092",a ,"1,299",a ,985,a ,
2014 October,786,a ,900,a ,"1,095",a ,"1,299",a ,990,a ,
2015 October,813,a ,950,a ,"1,128",a ,"1,300",a ,"1,020",a ,
2016 October,825,a ,959,a ,"1,173",a ,"1,305",a ,"1,037",a ,
2017 October,849,a ,978,a ,"1,175",a ,"1,391",a ,"1,065",a ,
2018 October,880,a ,"1,040",a ,"1,230",a ,"1,429",a ,"1,129",a ,
2019 October,916,a ,"1,109",a ,"1,300",a ,"1,524",a ,"1,216",a ,
2020 October,"1,020",a ,"1,199",a ,"1,399",a ,"1,599",a ,"1,299",a ,
2021 October,"1,049",a ,"1,236",a ,"1,450",a ,"1,650",a ,"1,349",a ,
2022 October,"1,100",a ,"1,290",a ,"1,520",a ,"1,695",a ,"1,400",a ,
2023 October,"1,126",a ,"1,373",a ,"1,600",a ,"1,800",a ,"1,481",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
