Guelph — Historical Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,387,b ,486,a ,563,a ,681,a ,552,a ,
1991 October,500,c ,489,a ,581,a ,720,a ,568,a ,
1992 October,466,b ,532,a ,624,a ,760,a ,611,a ,
1993 October,444,a ,536,a ,630,a ,774,a ,617,a ,
1994 October,463,a ,557,a ,648,a ,794,a ,638,a ,
1995 October,527,b ,566,a ,651,a ,802,a ,644,a ,
1996 October,461,a ,576,a ,664,a ,810,a ,651,a ,
1997 October,451,a ,584,a ,683,a ,817,a ,665,a ,
1998 October,456,a ,593,a ,691,a ,852,a ,674,a ,
1999 October,472,a ,608,a ,709,a ,882,a ,694,a ,
2000 October,485,a ,647,a ,740,a ,922,a ,725,a ,
2001 October,527,a ,668,a ,779,a ,"1,040",a ,775,a ,
2002 October,566,b ,707,a ,810,a ,"1,063",a ,801,a ,
2003 October,601,b ,706,a ,833,a ,"1,055",a ,815,a ,
2004 October,627,b ,727,a ,838,a ,"1,034",b ,817,a ,
2005 October,618,b ,734,a ,840,a ,"1,101",a ,836,a ,
2006 October,576,a ,744,a ,850,a ,"1,135",a ,854,a ,
2007 October,585,a ,743,a ,858,a ,"1,110",a ,848,a ,
2008 October,615,a ,766,a ,872,a ,"1,112",a ,863,a ,
2009 October,644,a ,770,a ,884,a ,"1,113",a ,870,a ,
2010 October,611,a ,782,a ,894,a ,"1,139",a ,879,a ,
2011 October,617,a ,797,a ,908,a ,"1,129",a ,897,a ,
2012 October,648,a ,829,a ,946,a ,"1,161",a ,925,a ,
2013 October,654,a ,842,a ,961,a ,"1,177",a ,944,a ,
2014 October,673,a ,868,a ,992,a ,"1,202",a ,973,a ,
2015 October,705,a ,898,a ,"1,030",a ,"1,207",a ,"1,003",a ,
2016 October,734,b ,952,a ,"1,080",a ,"1,249",a ,"1,055",a ,
2017 October,750,a ,980,a ,"1,128",a ,"1,305",a ,"1,092",a ,
2018 October,773,a ,"1,034",a ,"1,163",a ,"1,336",a ,"1,133",a ,
2019 October,819,a ,"1,145",a ,"1,285",a ,"1,412",a ,"1,245",a ,
2020 October,870,a ,"1,211",a ,"1,367",a ,"1,603",a ,"1,332",a ,
2021 October,935,a ,"1,277",a ,"1,436",a ,"1,466",a ,"1,378",a ,
2022 October,990,a ,"1,340",a ,"1,498",a ,"1,759",b ,"1,466",a ,
2023 October,"1,159",d ,"1,508",a ,"1,652",a ,"1,958",b ,"1,624",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
