Toronto — Historical Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,454,a ,559,a ,689,a ,842,a ,634,a ,
1991 October,482,a ,592,a ,730,a ,888,a ,672,a ,
1992 October,493,a ,610,a ,755,a ,905,a ,691,a ,
1993 October,510,a ,627,a ,773,a ,930,a ,710,a ,
1994 October,516,a ,641,a ,785,a ,946,a ,722,a ,
1995 October,531,a ,661,a ,805,a ,965,a ,741,a ,
1996 October,541,a ,675,a ,819,a ,988,a ,755,a ,
1997 October,555,a ,685,a ,822,a ,989,a ,762,a ,
1998 October,589,a ,729,a ,881,a ,"1,053",a ,813,a ,
1999 October,628,a ,770,a ,916,a ,"1,086",a ,850,a ,
2000 October,683,a ,830,a ,979,a ,"1,170",a ,913,a ,
2001 October,695,a ,866,a ,"1,027",a ,"1,218",a ,954,a ,
2002 October,729,a ,891,a ,"1,047",a ,"1,257",a ,981,a ,
2003 October,731,a ,884,a ,"1,040",a ,"1,223",a ,970,a ,
2004 October,727,a ,886,a ,"1,052",a ,"1,245",a ,980,a ,
2005 October,724,a ,888,a ,"1,052",a ,"1,248",a ,979,a ,
2006 October,740,a ,896,a ,"1,067",a ,"1,271",a ,995,a ,
2007 October,740,a ,900,a ,"1,061",a ,"1,261",a ,992,a ,
2008 October,764,a ,927,a ,"1,095",a ,"1,293",a ,"1,021",a ,
2009 October,758,a ,926,a ,"1,096",a ,"1,299",a ,"1,018",a ,
2010 October,777,a ,949,a ,"1,123",a ,"1,329",a ,"1,048",a ,
2011 October,819,a ,977,a ,"1,148",a ,"1,356",a ,"1,073",a ,
2012 October,837,a ,"1,007",a ,"1,183",a ,"1,411",a ,"1,108",a ,
2013 October,873,a ,"1,032",a ,"1,211",a ,"1,461",a ,"1,138",a ,
2014 October,896,a ,"1,067",a ,"1,251",a ,"1,466",a ,"1,170",a ,
2015 October,937,a ,"1,103",a ,"1,286",a ,"1,516",a ,"1,208",a ,
2016 October,957,a ,"1,132",a ,"1,326",a ,"1,525",a ,"1,240",a ,
2017 October,"1,013",a ,"1,194",a ,"1,403",a ,"1,589",a ,"1,308",a ,
2018 October,"1,081",a ,"1,261",a ,"1,468",a ,"1,647",a ,"1,370",a ,
2019 October,"1,142",a ,"1,361",a ,"1,563",a ,"1,730",a ,"1,465",a ,
2020 October,"1,204",a ,"1,421",a ,"1,637",a ,"1,854",a ,"1,536",a ,
2021 October,"1,217",a ,"1,439",a ,"1,680",a ,"1,918",a ,"1,570",a ,
2022 October,"1,306",a ,"1,527",a ,"1,779",a ,"2,018",a ,"1,665",a ,
2023 October,"1,414",a ,"1,691",a ,"1,958",a ,"2,168",a ,"1,830",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
