Vancouver — Historical Median Rent by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,475,a ,550,a ,710,a ,840,a ,585,a ,
1991 October,485,a ,575,a ,710,a ,850,a ,600,a ,
1992 October,490,a ,585,a ,725,a ,870,a ,625,a ,
1993 October,505,a ,600,a ,740,a ,875,a ,625,a ,
1994 October,525,a ,610,a ,750,a ,875,a ,635,a ,
1995 October,540,a ,625,a ,770,a ,895,a ,652,a ,
1996 October,560,a ,650,a ,777,a ,895,a ,675,a ,
1997 October,575,a ,650,a ,795,a ,931,a ,690,a ,
1998 October,580,a ,650,a ,810,a ,922,a ,690,a ,
1999 October,580,a ,670,a ,810,a ,930,a ,700,a ,
2000 October,600,a ,675,a ,820,a ,930,a ,705,a ,
2001 October,625,a ,700,a ,841,a ,950,a ,735,a ,
2002 October,630,a ,720,a ,870,a ,"1,000",a ,750,a ,
2003 October,650,a ,735,a ,875,a ,990,a ,765,a ,
2004 October,660,a ,750,a ,895,a ,"1,050",a ,775,a ,
2005 October,680,a ,760,a ,900,a ,"1,090",a ,795,a ,
2006 October,700,a ,780,a ,950,a ,"1,100",a ,815,a ,
2007 October,738,a ,800,a ,973,a ,"1,140",a ,845,a ,
2008 October,750,a ,850,a ,"1,011",a ,"1,200",a ,880,a ,
2009 October,785,a ,875,a ,"1,064",a ,"1,298",a ,900,a ,
2010 October,802,a ,900,a ,"1,100",a ,"1,300",a ,930,a ,
2011 October,820,a ,905,a ,"1,110",a ,"1,325",a ,950,a ,
2012 October,850,a ,935,a ,"1,150",a ,"1,334",a ,975,a ,
2013 October,875,a ,950,a ,"1,175",a ,"1,374",a ,"1,000",a ,
2014 October,900,a ,995,a ,"1,200",a ,"1,375",a ,"1,035",a ,
2015 October,922,a ,"1,010",a ,"1,250",a ,"1,450",a ,"1,073",a ,
2016 October,975,a ,"1,085",a ,"1,305",a ,"1,500",a ,"1,150",a ,
2017 October,"1,010",a ,"1,165",a ,"1,400",a ,"1,600",a ,"1,213",a ,
2018 October,"1,100",a ,"1,250",a ,"1,519",a ,"1,703",a ,"1,300",a ,
2019 October,"1,200",a ,"1,350",a ,"1,600",a ,"1,800",a ,"1,400",a ,
2020 October,"1,250",a ,"1,390",a ,"1,650",a ,"1,850",a ,"1,436",a ,
2021 October,"1,300",a ,"1,400",a ,"1,720",a ,"1,952",a ,"1,475",a ,
2022 October,"1,345",a ,"1,500",a ,"1,900",a ,"2,100",a ,"1,575",a ,
2023 October,"1,424",a ,"1,640",a ,"2,100",a ,"2,350",a ,"1,715",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
