Oshawa — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,397,"3,311","6,232","2,376","12,316",
1991 October,390,"3,327","6,351","2,561","12,629",
1992 October,392,"3,391","6,406","2,510","12,699",
1993 October,393,"3,399","6,564","2,558","12,914",
1994 October,392,"3,387","6,568","2,573","12,920",
1995 October,401,"3,365","6,494","2,361","12,621",
1996 October,395,"3,377","6,486","2,190","12,448",
1997 October,393,"3,393","6,498","2,016","12,300",
1998 October,387,"3,393","6,495","1,906","12,181",
1999 October,396,"3,413","6,487","1,890","12,186",
2000 October,396,"3,421","6,479","1,893","12,189",
2001 October,407,"3,417","6,489","1,891","12,204",
2002 October,405,"3,418","6,519","1,896","12,238",
2003 October,407,"3,560","6,455","1,863","12,285",
2004 October,403,"3,593","6,599","1,854","12,449",
2005 October,402,"3,591","6,582","1,777","12,352",
2006 October,410,"3,623","6,642","1,761","12,436",
2007 October,407,"3,456","6,549","1,734","12,146",
2008 October,401,"3,461","6,580","1,724","12,166",
2009 October,405,"3,456","6,578","1,721","12,160",
2010 October,406,"3,468","6,576","1,720","12,170",
2011 October,381,"3,453","6,571","1,719","12,124",
2012 October,378,"3,475","6,602","1,784","12,239",
2013 October,371,"3,471","6,614","1,768","12,224",
2014 October,358,"3,458","6,635","1,796","12,247",
2015 October,354,"3,467","6,692","1,826","12,339",
2016 October,356,"3,527","6,798","1,834","12,515",
2017 October,359,"3,557","6,802","1,856","12,574",
2018 October,361,"3,849","6,970","1,862","13,042",
2019 October,367,"3,852","6,978","1,854","13,051",
2020 October,365,"3,813","7,081","1,855","13,114",
2021 October,360,"3,857","7,042","1,856","13,115",
2022 October,422,"3,851","7,140","1,857","13,270",
2023 October,427,"3,819","7,096","1,855","13,197",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
