St. Catharines - Niagara — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,594,"6,038","8,763","2,120","17,515",
1991 October,621,"6,373","8,975","2,090","18,059",
1992 October,615,"6,200","8,930","2,038","17,783",
1993 October,618,"6,162","9,059","2,057","17,896",
1994 October,615,"6,110","8,984","1,984","17,693",
1995 October,616,"6,107","8,945","2,021","17,689",
1996 October,606,"6,163","8,973","1,982","17,724",
1997 October,605,"6,123","8,908","1,955","17,591",
1998 October,616,"6,087","8,850","1,952","17,505",
1999 October,614,"6,063","8,844","1,865","17,386",
2000 October,593,"6,038","8,781","1,851","17,263",
2001 October,594,"6,017","8,738","1,837","17,186",
2002 October,592,"5,975","8,710","1,844","17,121",
2003 October,571,"5,952","8,713","1,839","17,075",
2004 October,560,"5,959","8,820","1,934","17,273",
2005 October,555,"5,923","8,771","1,938","17,187",
2006 October,548,"5,894","8,683","1,903","17,028",
2007 October,553,"5,788","8,394","1,803","16,538",
2008 October,548,"5,695","8,390","1,789","16,422",
2009 October,549,"5,805","8,616","1,814","16,784",
2010 October,543,"5,922","8,522","1,598","16,585",
2011 October,535,"5,755","8,602","1,693","16,585",
2012 October,505,"5,767","8,593","1,581","16,446",
2013 October,489,"5,710","8,557","1,621","16,377",
2014 October,502,"5,726","8,626","1,732","16,586",
2015 October,503,"5,720","8,649","1,704","16,576",
2016 October,488,"5,736","8,687","1,720","16,631",
2017 October,493,"5,727","8,697","1,835","16,752",
2018 October,500,"5,761","8,778","1,835","16,874",
2019 October,501,"5,756","8,794","1,837","16,888",
2020 October,499,"5,765","8,875","1,836","16,975",
2021 October,498,"5,768","8,983","1,695","16,944",
2022 October,492,"5,839","9,192","1,728","17,251",
2023 October,473,"5,409","8,576","1,670","16,128",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
