Trois-Rivières — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,765,"4,402","6,391","3,355","14,913",
1991 October,970,"4,370","6,496","3,467","15,303",
1992 October,"1,034","4,502","6,530","3,469","15,535",
1993 October,"1,024","4,474","6,511","3,546","15,555",
1994 October,"1,005","4,460","6,527","3,561","15,553",
1995 October,"1,141","4,585","6,669","3,649","16,044",
1996 October,"1,135","4,591","6,722","3,666","16,114",
1997 October,"1,152","4,601","6,787","3,684","16,224",
1998 October,"1,185","4,602","6,831","3,620","16,238",
1999 October,"1,183","4,603","6,838","3,592","16,216",
2000 October,"1,173","4,689","6,875","3,620","16,357",
2001 October,"1,143","4,708","6,839","3,608","16,298",
2002 October,"1,170","4,672","6,873","3,590","16,305",
2003 October,"1,345","4,863","6,909","3,583","16,700",
2004 October,"1,294","4,737","7,041","3,550","16,622",
2005 October,"1,308","4,779","7,173","3,542","16,802",
2006 October,"1,209","4,996","7,315","3,512","17,032",
2007 October,"1,242","5,107","7,453","3,465","17,267",
2008 October,720,"4,328","7,469","3,454","15,971",
2009 October,692,"4,322","7,773","3,540","16,327",
2010 October,692,"4,376","8,054","3,645","16,767",
2011 October,659,"4,443","8,141","3,762","17,005",
2012 October,657,"4,471","8,293","3,848","17,269",
2013 October,643,"4,464","8,380","3,877","17,364",
2014 October,656,"4,526","8,514","3,971","17,667",
2015 October,664,"4,654","8,752","4,043","18,113",
2016 October,654,"4,687","8,931","4,079","18,351",
2017 October,652,"4,697","9,005","4,111","18,465",
2018 October,622,"4,753","9,064","4,174","18,613",
2019 October,618,"4,811","9,226","4,234","18,889",
2020 October,654,"4,826","9,393","4,281","19,154",
2021 October,662,"4,824","9,564","4,294","19,344",
2022 October,653,"4,841","9,863","4,337","19,694",
2023 October,638,"4,868","9,963","4,353","19,822",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
