St. John's — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,553,"1,026","2,368",540,"4,487",
1991 October,560,"1,031","2,421",528,"4,540",
1992 October,538,"1,065","2,411",523,"4,537",
1993 October,712,"1,286","2,472",520,"4,990",
1994 October,665,"1,258","2,440",501,"4,864",
1995 October,673,"1,263","2,458",500,"4,894",
1996 October,673,"1,299","2,480",512,"4,964",
1997 October,663,"1,299","2,377",454,"4,793",
1998 October,668,"1,280","2,208",414,"4,570",
1999 October,540,"1,259","2,193",386,"4,378",
2000 October,526,"1,219","2,104",345,"4,194",
2001 October,524,"1,186","1,878",312,"3,900",
2002 October,468,"1,187","1,789",302,"3,746",
2003 October,387,"1,454","2,383",381,"4,605",
2004 October,387,"1,393","2,191",344,"4,315",
2005 October,374,"1,347","1,993",328,"4,042",
2006 October,397,"1,451","2,123",351,"4,322",
2007 October,370,"1,296","1,952",337,"3,955",
2008 October,362,"1,181","1,891",334,"3,768",
2009 October,353,"1,190","1,884",306,"3,733",
2010 October,355,"1,170","1,778",313,"3,616",
2011 October,363,"1,158","1,783",305,"3,609",
2012 October,363,"1,178","1,779",304,"3,624",
2013 October,361,"1,173","1,817",300,"3,651",
2014 October,360,"1,191","1,835",306,"3,692",
2015 October,357,"1,232","1,916",317,"3,822",
2016 October,363,"1,264","2,034",316,"3,977",
2017 October,335,"1,250","2,047",319,"3,951",
2018 October,360,"1,283","2,157",318,"4,118",
2019 October,351,"1,303","2,162",317,"4,133",
2020 October,353,"1,316","2,181",317,"4,167",
2021 October,352,"1,277","2,175",313,"4,117",
2022 October,448,"1,395","2,230",314,"4,387",
2023 October,457,"1,528","2,260",324,"4,569",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
