Fredericton — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,350,"1,338","2,679",398,"4,765",
1991 October,357,"1,350","2,729",419,"4,855",
1992 October,354,"1,343","2,841",430,"4,968",
1993 October,353,"1,334","3,023",439,"5,149",
1994 October,349,"1,314","3,087",458,"5,208",
1995 October,345,"1,319","3,200",459,"5,323",
1996 October,341,"1,319","3,234",454,"5,348",
1997 October,343,"1,321","3,313",459,"5,436",
1998 October,345,"1,351","3,520",491,"5,707",
1999 October,353,"1,371","3,618",500,"5,842",
2000 October,373,"1,501","4,038",601,"6,513",
2001 October,365,"1,495","3,991",578,"6,429",
2002 October,367,"1,496","4,108",603,"6,574",
2003 October,366,"1,499","4,187",626,"6,678",
2004 October,344,"1,522","4,424",701,"6,991",
2005 October,343,"1,553","4,507",698,"7,101",
2006 October,366,"1,615","4,760",808,"7,549",
2007 October,359,"1,558","4,564",789,"7,270",
2008 October,355,"1,600","4,473",821,"7,249",
2009 October,321,"1,516","4,439",842,"7,118",
2010 October,343,"1,567","4,526",927,"7,363",
2011 October,338,"1,562","4,531",921,"7,352",
2012 October,370,"1,629","4,515",880,"7,394",
2013 October,374,"1,629","4,547",891,"7,441",
2014 October,374,"1,695","4,744",938,"7,751",
2015 October,373,"1,681","4,860",944,"7,858",
2016 October,369,"1,705","4,970",980,"8,024",
2017 October,367,"1,723","5,220",948,"8,258",
2018 October,388,"1,748","5,406","1,042","8,584",
2019 October,380,"1,747","5,496","1,073","8,696",
2020 October,361,"1,823","5,668","1,152","9,004",
2021 October,372,"1,840","5,763","1,187","9,162",
2022 October,371,"1,884","6,094","1,198","9,547",
2023 October,417,"2,068","6,323","1,293","10,101",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
