Sherbrooke — Historical Universe by Bedroom Type  
2007 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
2007 October,"2,636","7,510","18,143","4,665","32,954",
2008 October,"2,144","6,799","17,061","4,905","30,909",
2009 October,"2,173","6,942","17,406","5,171","31,692",
2010 October,"2,240","7,024","17,346","5,393","32,003",
2011 October,"2,275","7,142","17,450","5,699","32,566",
2012 October,"2,256","7,283","17,539","5,935","33,013",
2013 October,"2,231","7,426","17,637","6,088","33,382",
2014 October,"2,260","7,518","17,559","6,222","33,559",
2015 October,"2,271","7,530","17,666","6,390","33,857",
2016 October,"2,311","7,633","18,313","6,471","34,728",
2017 October,"2,293","7,795","18,190","6,579","34,857",
2018 October,"2,290","7,828","18,650","6,687","35,455",
2019 October,"2,301","7,912","18,722","6,808","35,743",
2020 October,"2,322","7,981","18,869","6,962","36,134",
2021 October,"2,314","8,192","19,316","7,328","37,150",
2022 October,"2,402","8,396","19,623","7,803","38,224",
2023 October,"2,408","8,720","20,222","8,419","39,769",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
