Guelph — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,249,"2,284","4,251","1,026","7,810",
1991 October,252,"2,316","4,364","1,094","8,026",
1992 October,269,"2,317","4,323","1,114","8,023",
1993 October,273,"2,291","4,319","1,118","8,001",
1994 October,264,"2,292","4,323","1,121","8,000",
1995 October,258,"2,274","4,321","1,111","7,964",
1996 October,260,"2,272","4,267","1,035","7,834",
1997 October,259,"2,272","4,235",987,"7,753",
1998 October,207,"2,281","4,213",956,"7,657",
1999 October,259,"2,272","4,193",964,"7,688",
2000 October,264,"2,248","4,165",997,"7,674",
2001 October,263,"2,252","4,161","1,015","7,691",
2002 October,263,"2,266","4,245",936,"7,710",
2003 October,261,"2,256","4,206",919,"7,642",
2004 October,252,"2,247","4,238",970,"7,707",
2005 October,259,"2,232","4,127","1,028","7,646",
2006 October,213,"2,222","4,123","1,104","7,662",
2007 October,220,"2,263","4,128",966,"7,577",
2008 October,217,"2,261","4,126",914,"7,518",
2009 October,221,"2,277","4,114",875,"7,487",
2010 October,219,"2,276","3,981",834,"7,310",
2011 October,211,"2,237","3,937",856,"7,241",
2012 October,214,"2,276","4,002",868,"7,360",
2013 October,214,"2,258","3,971",867,"7,310",
2014 October,208,"2,261","3,981",851,"7,301",
2015 October,201,"2,271","3,987",847,"7,306",
2016 October,197,"2,276","4,006",847,"7,326",
2017 October,204,"2,350","4,127",843,"7,524",
2018 October,200,"2,346","4,417",847,"7,810",
2019 October,201,"2,472","4,654",853,"8,180",
2020 October,204,"2,610","4,693",852,"8,359",
2021 October,206,"2,643","4,810",846,"8,505",
2022 October,207,"2,663","4,774",844,"8,488",
2023 October,229,"2,708","4,712",844,"8,493",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
