Moncton — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,319,"1,850","3,516",346,"6,031",
1991 October,340,"1,875","3,568",353,"6,136",
1992 October,329,"1,879","3,640",341,"6,189",
1993 October,318,"1,909","3,831",354,"6,412",
1994 October,316,"1,916","4,189",358,"6,779",
1995 October,319,"1,911","4,300",371,"6,901",
1996 October,316,"1,901","4,520",370,"7,107",
1997 October,312,"1,882","4,647",364,"7,205",
1998 October,310,"1,898","4,791",373,"7,372",
1999 October,312,"1,907","4,923",379,"7,521",
2000 October,404,"2,244","5,882",484,"9,014",
2001 October,409,"2,186","5,564",490,"8,649",
2002 October,401,"2,183","5,628",508,"8,720",
2003 October,420,"2,324","5,755",534,"9,033",
2004 October,405,"2,319","6,120",530,"9,374",
2005 October,403,"2,357","6,208",559,"9,527",
2006 October,417,"2,461","6,628",559,"10,065",
2007 October,376,"2,407","6,616",526,"9,925",
2008 October,369,"2,391","6,770",523,"10,053",
2009 October,366,"2,425","6,935",495,"10,221",
2010 October,365,"2,448","6,866",531,"10,210",
2011 October,365,"2,448","6,866",510,"10,189",
2012 October,370,"2,483","7,065",510,"10,428",
2013 October,446,"2,633","7,265",520,"10,864",
2014 October,456,"2,853","7,692",518,"11,519",
2015 October,443,"2,850","7,857",516,"11,666",
2016 October,445,"2,998","8,147",518,"12,108",
2017 October,470,"3,017","8,273",541,"12,301",
2018 October,466,"3,012","8,310",553,"12,341",
2019 October,460,"3,037","8,811",565,"12,873",
2020 October,482,"3,169","9,351",586,"13,588",
2021 October,478,"3,193","9,835",596,"14,102",
2022 October,492,"3,299","10,623",599,"15,013",
2023 October,522,"3,515","10,865",643,"15,545",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
