Saskatoon — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,820,"6,947","10,025","1,622","19,414",
1991 October,767,"6,937","9,895","1,653","19,252",
1992 October,732,"6,816","9,592","1,531","18,671",
1993 October,739,"6,789","9,610","1,598","18,736",
1994 October,780,"6,833","9,534","1,647","18,794",
1995 October,775,"6,805","9,431","1,629","18,640",
1996 October,772,"6,837","9,396","1,716","18,721",
1997 October,752,"6,696","9,183","1,659","18,290",
1998 October,742,"6,591","8,971","1,588","17,892",
1999 October,746,"6,361","8,483","1,439","17,029",
2000 October,741,"6,283","8,421","1,399","16,844",
2001 October,740,"6,242","8,305","1,408","16,695",
2002 October,716,"6,083","8,197","1,384","16,380",
2003 October,710,"5,978","8,275","1,414","16,377",
2004 October,700,"6,006","8,398","1,343","16,447",
2005 October,711,"5,845","8,209","1,303","16,068",
2006 October,710,"5,748","7,969","1,216","15,643",
2007 October,673,"5,371","7,270","1,109","14,423",
2008 October,611,"5,118","6,983","1,078","13,790",
2009 October,609,"5,055","6,896","1,062","13,622",
2010 October,626,"5,006","6,816","1,038","13,486",
2011 October,596,"4,975","6,692",908,"13,171",
2012 October,588,"4,987","7,050",906,"13,531",
2013 October,590,"4,977","7,055",904,"13,526",
2014 October,591,"4,985","7,195",923,"13,694",
2015 October,620,"5,105","7,378",945,"14,048",
2016 October,607,"5,115","7,506",993,"14,221",
2017 October,608,"5,162","7,741","1,018","14,529",
2018 October,621,"5,198","7,987","1,042","14,848",
2019 October,615,"5,209","8,044","1,057","14,925",
2020 October,622,"5,346","8,403","1,039","15,410",
2021 October,623,"5,577","8,825","1,098","16,123",
2022 October,624,"5,758","9,357","1,185","16,924",
2023 October,674,"6,158","9,927","1,308","18,067",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
