Charlottetown — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,167,"1,048","1,895",177,"3,287",
1991 October,175,"1,094","2,031",170,"3,470",
1992 October,174,"1,129","2,147",179,"3,629",
1993 October,166,"1,151","2,210",187,"3,714",
1994 October,162,"1,151","2,272",211,"3,796",
1995 October,161,"1,060","2,284",216,"3,721",
1996 October,159,"1,060","2,287",219,"3,725",
1997 October,158,"1,056","2,287",221,"3,722",
1998 October,158,"1,061","2,293",231,"3,743",
1999 October,158,"1,056","2,297",290,"3,801",
2000 October,163,"1,061","2,358",310,"3,892",
2001 October,165,"1,058","2,359",306,"3,888",
2002 October,163,"1,062","2,371",301,"3,897",
2003 October,166,"1,074","2,386",343,"3,969",
2004 October,165,"1,079","2,443",372,"4,059",
2005 October,165,"1,084","2,423",389,"4,061",
2006 October,167,"1,088","2,446",403,"4,104",
2007 October,151,"1,091","2,477",390,"4,109",
2008 October,149,"1,087","2,468",397,"4,101",
2009 October,148,"1,093","2,554",435,"4,230",
2010 October,148,"1,108","2,658",454,"4,368",
2011 October,156,"1,143","2,782",471,"4,552",
2012 October,152,"1,172","2,967",483,"4,774",
2013 October,155,"1,221","3,141",496,"5,013",
2014 October,158,"1,283","3,204",498,"5,143",
2015 October,159,"1,292","3,404",479,"5,334",
2016 October,157,"1,315","3,475",483,"5,430",
2017 October,161,"1,339","3,582",481,"5,563",
2018 October,156,"1,345","3,665",473,"5,639",
2019 October,150,"1,387","3,934",481,"5,952",
2020 October,152,"1,433","4,182",503,"6,270",
2021 October,156,"1,457","4,625",493,"6,731",
2022 October,151,"1,480","4,830",512,"6,973",
2023 October,154,"1,523","4,779",523,"6,979",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
