Kelowna — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,97,"1,415","1,701",190,"3,403",
1991 October,105,"1,470","1,947",183,"3,705",
1992 October,104,"1,463","1,997",205,"3,769",
1993 October,102,"1,500","2,090",211,"3,903",
1994 October,108,"1,575","2,150",212,"4,045",
1995 October,102,"1,584","2,169",218,"4,073",
1996 October,101,"1,581","2,199",225,"4,106",
1997 October,101,"1,602","2,218",231,"4,152",
1998 October,101,"1,639","2,236",237,"4,213",
1999 October,102,"1,669","2,251",236,"4,258",
2000 October,106,"1,672","2,251",236,"4,265",
2001 October,114,"1,742","2,299",243,"4,398",
2002 October,123,"1,697","2,299",235,"4,354",
2003 October,122,"1,776","2,363",240,"4,501",
2004 October,121,"1,763","2,396",241,"4,521",
2005 October,130,"1,795","2,391",220,"4,536",
2006 October,131,"1,804","2,423",232,"4,590",
2007 October,131,"1,766","2,347",225,"4,469",
2008 October,131,"1,753","2,217",204,"4,305",
2009 October,132,"1,739","2,201",208,"4,280",
2010 October,133,"1,767","2,214",210,"4,324",
2011 October,145,"1,764","2,328",222,"4,459",
2012 October,159,"1,860","2,503",236,"4,758",
2013 October,160,"1,912","2,547",220,"4,839",
2014 October,159,"1,911","2,590",223,"4,883",
2015 October,172,"1,931","2,618",221,"4,942",
2016 October,197,"1,926","2,611",221,"4,955",
2017 October,447,"1,946","2,632",227,"5,252",
2018 October,476,"2,038","3,012",246,"5,772",
2019 October,856,"2,400","3,576",265,"7,097",
2020 October,872,"2,634","3,564",353,"7,423",
2021 October,865,"2,708","3,796",346,"7,715",
2022 October,879,"2,816","4,158",450,"8,303",
2023 October,917,"3,137","4,278",448,"8,780",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
