Kitchener - Cambridge - Waterloo — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,712,"8,314","16,350","3,843","29,219",
1991 October,717,"8,745","16,916","3,961","30,339",
1992 October,713,"8,765","17,250","3,916","30,644",
1993 October,698,"8,645","17,423","3,869","30,635",
1994 October,689,"8,609","17,186","3,823","30,307",
1995 October,684,"8,602","17,003","3,656","29,945",
1996 October,696,"8,624","16,892","3,338","29,550",
1997 October,712,"8,592","16,956","3,192","29,452",
1998 October,713,"8,590","17,024","3,141","29,468",
1999 October,711,"8,558","16,715","3,086","29,070",
2000 October,779,"8,500","16,768","2,997","29,044",
2001 October,758,"8,435","16,905","3,040","29,138",
2002 October,807,"8,662","16,939","3,012","29,420",
2003 October,799,"8,543","16,735","3,001","29,078",
2004 October,754,"8,844","17,849","3,189","30,636",
2005 October,757,"8,979","17,886","3,291","30,913",
2006 October,739,"8,911","18,178","3,340","31,168",
2007 October,752,"9,063","18,385","3,021","31,221",
2008 October,747,"9,119","18,344","2,973","31,183",
2009 October,760,"9,141","18,330","2,974","31,205",
2010 October,764,"9,234","18,572","2,991","31,561",
2011 October,772,"9,234","18,520","2,901","31,427",
2012 October,769,"9,295","18,301","2,861","31,226",
2013 October,775,"9,463","18,417","2,892","31,547",
2014 October,775,"9,448","18,604","2,853","31,680",
2015 October,766,"9,619","19,109","2,840","32,334",
2016 October,771,"9,771","20,116","3,088","33,746",
2017 October,863,"10,517","21,274","3,282","35,936",
2018 October,852,"10,984","22,419","3,409","37,664",
2019 October,792,"11,317","21,700","3,027","36,836",
2020 October,835,"11,638","23,244","3,632","39,349",
2021 October,841,"11,619","23,498","3,581","39,539",
2022 October,762,"11,820","23,904","3,552","40,038",
2023 October,757,"11,558","22,855","3,412","38,582",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
