Victoria — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,"2,064","12,075","6,384",551,"21,074",
1991 October,"2,737","14,294","8,228",885,"26,144",
1992 October,"2,720","14,157","8,030",846,"25,753",
1993 October,"2,701","14,055","7,832",880,"25,468",
1994 October,"2,722","14,064","7,724",901,"25,411",
1995 October,"2,714","13,949","7,794",889,"25,346",
1996 October,"2,716","13,913","7,698",895,"25,222",
1997 October,"2,713","13,871","7,622",883,"25,089",
1998 October,"2,693","13,695","7,484",888,"24,760",
1999 October,"2,671","13,560","7,486",879,"24,596",
2000 October,"2,674","13,543","7,509",901,"24,627",
2001 October,"2,665","13,524","7,469",886,"24,544",
2002 October,"2,678","13,516","7,460",891,"24,545",
2003 October,"2,675","13,465","7,442",887,"24,469",
2004 October,"2,709","13,416","7,430",895,"24,450",
2005 October,"2,691","13,372","7,403",831,"24,297",
2006 October,"2,695","13,362","7,377",853,"24,287",
2007 October,"2,645","13,284","7,291",829,"24,049",
2008 October,"2,584","13,275","7,286",803,"23,948",
2009 October,"2,568","13,288","7,403",831,"24,090",
2010 October,"2,566","13,263","7,328",795,"23,952",
2011 October,"2,565","13,309","7,319",794,"23,987",
2012 October,"2,629","13,411","7,385",789,"24,214",
2013 October,"2,654","13,383","7,398",775,"24,210",
2014 October,"2,709","13,516","7,523",819,"24,567",
2015 October,"2,803","13,609","7,663",840,"24,915",
2016 October,"2,725","13,677","7,766",845,"25,013",
2017 October,"2,868","14,001","7,847",864,"25,580",
2018 October,"2,970","14,326","8,091",984,"26,371",
2019 October,"3,052","14,499","8,479",859,"26,889",
2020 October,"3,302","15,241","8,767",896,"28,206",
2021 October,"3,324","15,470","9,143",930,"28,867",
2022 October,"3,339","16,004","9,761","1,091","30,195",
2023 October,"3,721","16,522","10,290","1,152","31,685",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
