Regina — Historical Universe by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,860,"5,593","6,171",644,"13,268",
1991 October,853,"5,516","6,130",617,"13,116",
1992 October,807,"5,474","6,122",626,"13,029",
1993 October,794,"5,452","6,100",626,"12,972",
1994 October,792,"5,347","6,021",603,"12,763",
1995 October,804,"5,257","5,912",597,"12,570",
1996 October,802,"5,278","6,051",798,"12,929",
1997 October,793,"5,274","6,018",768,"12,853",
1998 October,793,"5,291","6,004",765,"12,853",
1999 October,787,"5,324","6,063",756,"12,930",
2000 October,784,"5,307","5,947",649,"12,687",
2001 October,792,"5,260","5,742",650,"12,444",
2002 October,786,"5,158","5,651",653,"12,248",
2003 October,781,"5,158","5,718",841,"12,498",
2004 October,751,"5,133","5,750",988,"12,622",
2005 October,737,"5,089","5,719",968,"12,513",
2006 October,723,"5,091","5,717",964,"12,495",
2007 October,726,"5,105","5,729",921,"12,481",
2008 October,729,"5,011","5,593",910,"12,243",
2009 October,703,"4,954","5,536",909,"12,102",
2010 October,714,"4,872","5,474",888,"11,948",
2011 October,717,"4,790","5,426",885,"11,818",
2012 October,692,"4,792","5,498",810,"11,792",
2013 October,676,"4,848","5,646",813,"11,983",
2014 October,666,"4,853","6,121",843,"12,483",
2015 October,653,"4,931","6,569",868,"13,021",
2016 October,651,"5,002","6,790",962,"13,405",
2017 October,656,"5,167","6,915",951,"13,689",
2018 October,637,"5,189","7,367",973,"14,166",
2019 October,628,"5,309","7,625",988,"14,550",
2020 October,662,"5,387","7,730","1,029","14,808",
2021 October,653,"5,399","7,697","1,016","14,765",
2022 October,663,"5,361","7,736","1,086","14,846",
2023 October,641,"5,474","7,791","1,139","15,045",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
