"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries","17100148",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710014801",1;2;3;4;5;7;8,"CURRENT - a cube available to the public and that is current","Annual","2001-01-01","2025-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Gender",,""
"3","Age group",6,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","All areas outside census metropolitan areas and census agglomerations, Canada","","165","1","",,
"1","All census metropolitan areas and census agglomerations, Canada","","2","1","",,
"1","All census metropolitan areas, Canada","","3","2","",,
"1","All census agglomerations, Canada","","47","2","",,
"1","St. John's (CMA), Newfoundland and Labrador","[001]","4","3","",,
"1","Halifax (CMA), Nova Scotia","[205]","5","3","",,
"1","Moncton (CMA), New Brunswick","[305]","6","3","",,
"1","Saint John (CMA), New Brunswick","[310]","7","3","",,
"1","Fredericton (CMA), New Brunswick","[320]","8","3","",,
"1","Saguenay (CMA), Quebec","[408]","9","3","",,
"1","Québec (CMA), Quebec","[421]","10","3","",,
"1","Sherbrooke (CMA), Quebec","[433]","11","3","",,
"1","Trois-Rivières (CMA), Quebec","[442]","12","3","",,
"1","Drummondville (CMA), Quebec","[447]","13","3","",,
"1","Montréal (CMA), Quebec","[462]","14","3","",,
"1","Ottawa - Gatineau (CMA), Ontario/Quebec","[505]","15","3","",,
"1","Kingston (CMA), Ontario","[521]","18","3","",,
"1","Belleville - Quinte West (CMA), Ontario","[522]","19","3","",,
"1","Peterborough (CMA), Ontario","[529]","20","3","",,
"1","Oshawa (CMA), Ontario","[532]","21","3","",,
"1","Toronto (CMA), Ontario","[535]","22","3","",,
"1","Hamilton (CMA), Ontario","[537]","23","3","",,
"1","St. Catharines - Niagara (CMA), Ontario","[539]","24","3","",,
"1","Kitchener - Cambridge - Waterloo (CMA), Ontario","[541]","25","3","",,
"1","Brantford (CMA), Ontario","[543]","26","3","",,
"1","Guelph (CMA), Ontario","[550]","27","3","",,
"1","London (CMA), Ontario","[555]","28","3","",,
"1","Windsor (CMA), Ontario","[559]","29","3","",,
"1","Barrie (CMA), Ontario","[568]","30","3","",,
"1","Greater Sudbury (CMA), Ontario","[580]","31","3","",,
"1","Thunder Bay (CMA), Ontario","[595]","32","3","",,
"1","Winnipeg (CMA), Manitoba","[602]","33","3","",,
"1","Regina (CMA), Saskatchewan","[705]","34","3","",,
"1","Saskatoon (CMA), Saskatchewan","[725]","35","3","",,
"1","Lethbridge (CMA), Alberta","[810]","36","3","",,
"1","Calgary (CMA), Alberta","[825]","37","3","",,
"1","Red Deer (CMA), Alberta","[830]","38","3","",,
"1","Edmonton (CMA), Alberta","[835]","39","3","",,
"1","Kelowna (CMA), British Columbia","[915]","40","3","",,
"1","Kamloops (CMA), British Columbia","[925]","41","3","",,
"1","Chilliwack (CMA), British Columbia","[930]","42","3","",,
"1","Abbotsford - Mission (CMA), British Columbia","[932]","43","3","",,
"1","Vancouver (CMA), British Columbia","[933]","44","3","",,
"1","Victoria (CMA), British Columbia","[935]","45","3","",,
"1","Nanaimo (CMA), British Columbia","[938]","46","3","",,
"1","Ottawa - Gatineau (CMA), Ontario part, Ontario","[35505]","16","15","",,
"1","Ottawa - Gatineau (CMA), Quebec part, Quebec","[24505]","17","15","",,
"1","Salmon Arm (CA), British Columbia","[920]","147","47","",,
"1","Squamish (CA), British Columbia","[934]","148","47","",,
"1","Ladysmith (CA), British Columbia","[936]","149","47","",,
"1","Duncan (CA), British Columbia","[937]","150","47","",,
"1","Parksville (CA), British Columbia","[939]","151","47","",,
"1","Port Alberni (CA), British Columbia","[940]","152","47","",,
"1","Courtenay (CA), British Columbia","[943]","153","47","",,
"1","Campbell River (CA), British Columbia","[944]","154","47","",,
"1","Powell River (CA), British Columbia","[945]","155","47","",,
"1","Williams Lake (CA), British Columbia","[950]","156","47","",,
"1","Quesnel (CA), British Columbia","[952]","157","47","",,
"1","Prince Rupert (CA), British Columbia","[955]","158","47","",,
"1","Terrace (CA), British Columbia","[965]","159","47","",,
"1","Prince George (CA), British Columbia","[970]","160","47","",,
"1","Dawson Creek (CA), British Columbia","[975]","161","47","",,
"1","Fort St. John (CA), British Columbia","[977]","162","47","",,
"1","Whitehorse (CA), Yukon","[990]","163","47","",,
"1","Yellowknife (CA), Northwest Territories","[995]","164","47","",,
"1","Grand Falls-Windsor (CA), Newfoundland and Labrador","[010]","48","47","",,
"1","Gander (CA), Newfoundland and Labrador","[011]","49","47","",,
"1","Corner Brook (CA), Newfoundland and Labrador","[015]","50","47","",,
"1","Charlottetown (CA), Prince Edward Island","[105]","51","47","",,
"1","Summerside (CA), Prince Edward Island","[110]","52","47","",,
"1","Kentville (CA), Nova Scotia","[210]","53","47","",,
"1","Truro (CA), Nova Scotia","[215]","54","47","",,
"1","New Glasgow (CA), Nova Scotia","[220]","55","47","",,
"1","Cape Breton (CA), Nova Scotia","[225]","56","47","",,
"1","Bathurst (CA), New Brunswick","[328]","57","47","",,
"1","Miramichi (CA), New Brunswick","[329]","58","47","",,
"1","Edmundston (CA), New Brunswick","[335]","59","47","",,
"1","Campbellton (CA), New Brunswick/Quebec","[330]","60","47","",,
"1","Matane (CA), Quebec","[403]","63","47","",,
"1","Rimouski (CA), Quebec","[404]","64","47","",,
"1","Rivière-du-Loup (CA), Quebec","[405]","65","47","",,
"1","Baie-Comeau (CA), Quebec","[406]","66","47","",,
"1","Alma (CA), Quebec","[410]","67","47","",,
"1","Dolbeau-Mistassini (CA), Quebec","[411]","68","47","",,
"1","Sept-Îles (CA), Quebec","[412]","69","47","",,
"1","Sainte-Marie (CA), Quebec","[423]","70","47","",,
"1","Saint-Georges (CA), Quebec","[428]","71","47","",,
"1","Thetford Mines (CA), Quebec","[430]","72","47","",,
"1","Cowansville (CA), Quebec","[437]","73","47","",,
"1","Victoriaville (CA), Quebec","[440]","74","47","",,
"1","Shawinigan (CA), Quebec","[444]","75","47","",,
"1","Granby (CA), Quebec","[450]","76","47","",,
"1","Saint-Hyacinthe (CA), Quebec","[452]","77","47","",,
"1","Sorel-Tracy (CA), Quebec","[454]","78","47","",,
"1","Joliette (CA), Quebec","[456]","79","47","",,
"1","Salaberry-de-Valleyfield (CA), Quebec","[465]","80","47","",,
"1","Sainte-Agathe-des-Monts (CA), Quebec","[467]","81","47","",,
"1","Lachute (CA), Quebec","[468]","82","47","",,
"1","Val-d'Or (CA), Quebec","[480]","83","47","",,
"1","Amos (CA), Quebec","[481]","84","47","",,
"1","Rouyn-Noranda (CA), Quebec","[485]","85","47","",,
"1","Hawkesbury (CA), Ontario/Quebec","[502]","86","47","",,
"1","Cornwall (CA), Ontario","[501]","89","47","",,
"1","Brockville (CA), Ontario","[512]","90","47","",,
"1","Pembroke (CA), Ontario","[515]","91","47","",,
"1","Petawawa (CA), Ontario","[516]","92","47","",,
"1","Cobourg (CA), Ontario","[527]","93","47","",,
"1","Port Hope (CA), Ontario","[528]","94","47","",,
"1","Kawartha Lakes (CA), Ontario","[530]","95","47","",,
"1","Centre Wellington (CA), Ontario","[531]","96","47","",,
"1","Ingersoll (CA), Ontario","[533]","97","47","",,
"1","Woodstock (CA), Ontario","[544]","98","47","",,
"1","Tillsonburg (CA), Ontario","[546]","99","47","",,
"1","Norfolk (CA), Ontario","[547]","100","47","",,
"1","Stratford (CA), Ontario","[553]","101","47","",,
"1","Chatham-Kent (CA), Ontario","[556]","102","47","",,
"1","Sarnia (CA), Ontario","[562]","103","47","",,
"1","Essa (CA), Ontario","[563]","104","47","",,
"1","Wasaga Beach (CA), Ontario","[565]","105","47","",,
"1","Owen Sound (CA), Ontario","[566]","106","47","",,
"1","Collingwood (CA), Ontario","[567]","107","47","",,
"1","Orillia (CA), Ontario","[569]","108","47","",,
"1","Midland (CA), Ontario","[571]","109","47","",,
"1","North Bay (CA), Ontario","[575]","110","47","",,
"1","Elliot Lake (CA), Ontario","[582]","111","47","",,
"1","Timmins (CA), Ontario","[586]","112","47","",,
"1","Sault Ste. Marie (CA), Ontario","[590]","113","47","",,
"1","Kenora (CA), Ontario","[598]","114","47","",,
"1","Winkler (CA), Manitoba","[603]","115","47","",,
"1","Steinbach (CA), Manitoba","[605]","116","47","",,
"1","Portage la Prairie (CA), Manitoba","[607]","117","47","",,
"1","Brandon (CA), Manitoba","[610]","118","47","",,
"1","Thompson (CA), Manitoba","[640]","119","47","",,
"1","Yorkton (CA), Saskatchewan","[710]","120","47","",,
"1","Moose Jaw (CA), Saskatchewan","[715]","121","47","",,
"1","Swift Current (CA), Saskatchewan","[720]","122","47","",,
"1","North Battleford (CA), Saskatchewan","[735]","123","47","",,
"1","Prince Albert (CA), Saskatchewan","[745]","124","47","",,
"1","Estevan (CA), Saskatchewan","[750]","125","47","",,
"1","Weyburn (CA), Saskatchewan","[755]","126","47","",,
"1","Lloydminster (CA), Alberta/Saskatchewan","[840]","127","47","",,
"1","Medicine Hat (CA), Alberta","[805]","130","47","",,
