Victoria — Historical % of Homeowner and Condominium Units Absorbed at Completion by Dwelling Type  
January 1990 to March 2024 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
Jan 1990,88.7 %,50.0 %,17.6 %,**,79.7 %,
Feb 1990,76.1 %,47.1 %,60.0 %,62.1 %,66.2 %,
Mar 1990,75.8 %,100.0 %,27.3 %,20.0 %,62.3 %,
Apr 1990,80.7 %,50.0 %,56.3 %,28.9 %,68.2 %,
May 1990,75.0 %,75.0 %,52.6 %,**,72.3 %,
Jun 1990,75.0 %,50.0 %,100.0 %,**,75.0 %,
Jul 1990,69.0 %,100.0 %,85.7 %,100.0 %,78.3 %,
Aug 1990,70.0 %,20.0 %,71.4 %,44.4 %,57.6 %,
Sep 1990,77.0 %,100.0 %,23.7 %,54.8 %,61.3 %,
Oct 1990,68.4 %,16.7 %,57.7 %,58.0 %,59.9 %,
Nov 1990,72.3 %,38.9 %,0.0 %,9.4 %,37.7 %,
Dec 1990,74.4 %,25.0 %,0.0 %,93.8 %,62.0 %,
Jan 1991,86.0 %,57.1 %,6.3 %,43.7 %,47.8 %,
Feb 1991,82.1 %,100.0 %,50.0 %,12.5 %,66.3 %,
Mar 1991,83.3 %,66.7 %,20.0 %,**,67.5 %,
Apr 1991,73.6 %,50.0 %,80.0 %,2.3 %,45.6 %,
May 1991,91.0 %,100.0 %,47.1 %,**,86.0 %,
Jun 1991,84.6 %,0.0 %,0.0 %,16.7 %,68.0 %,
Jul 1991,91.4 %,33.3 %,0.0 %,40.7 %,62.5 %,
Aug 1991,88.8 %,28.6 %,100.0 %,41.8 %,73.2 %,
Sep 1991,93.4 %,100.0 %,35.7 %,**,85.8 %,
Oct 1991,86.6 %,33.3 %,**,**,83.9 %,
Nov 1991,82.5 %,37.5 %,100.0 %,100.0 %,83.3 %,
Dec 1991,78.9 %,50.0 %,**,**,78.0 %,
Jan 1992,75.5 %,50.0 %,76.6 %,37.8 %,65.3 %,
Feb 1992,81.7 %,30.0 %,95.0 %,**,79.2 %,
Mar 1992,88.7 %,63.6 %,100.0 %,**,88.5 %,
Apr 1992,85.1 %,72.2 %,76.9 %,35.3 %,72.9 %,
May 1992,84.0 %,56.3 %,53.3 %,45.7 %,59.1 %,
Jun 1992,75.9 %,72.7 %,71.9 %,**,74.1 %,
Jul 1992,74.2 %,57.1 %,31.6 %,50.0 %,64.7 %,
Aug 1992,72.5 %,25.0 %,88.9 %,**,71.7 %,
Sep 1992,78.1 %,60.0 %,70.0 %,**,76.2 %,
Oct 1992,78.9 %,37.5 %,50.0 %,53.2 %,62.9 %,
Nov 1992,73.2 %,25.0 %,0.0 %,100.0 %,65.0 %,
Dec 1992,75.8 %,40.0 %,60.0 %,77.1 %,72.3 %,
Jan 1993,72.2 %,64.3 %,68.8 %,59.6 %,66.7 %,
Feb 1993,62.1 %,53.3 %,0.0 %,**,57.9 %,
Mar 1993,70.3 %,27.3 %,100.0 %,96.6 %,76.3 %,
Apr 1993,76.5 %,40.0 %,100.0 %,95.3 %,83.9 %,
May 1993,70.6 %,55.0 %,0.0 %,57.1 %,62.7 %,
Jun 1993,65.8 %,42.1 %,90.0 %,68.2 %,67.4 %,
Jul 1993,64.9 %,73.7 %,100.0 %,93.4 %,78.0 %,
Aug 1993,77.6 %,44.8 %,69.6 %,66.7 %,67.6 %,
Sep 1993,78.6 %,65.0 %,100.0 %,**,77.3 %,
Oct 1993,78.2 %,41.7 %,68.1 %,56.2 %,64.7 %,
Nov 1993,73.6 %,61.5 %,53.8 %,52.5 %,59.0 %,
Dec 1993,80.2 %,47.4 %,47.6 %,81.0 %,71.4 %,
Jan 1994,70.8 %,27.3 %,25.0 %,63.8 %,60.2 %,
Feb 1994,66.1 %,42.9 %,60.7 %,56.8 %,58.9 %,
Mar 1994,76.8 %,34.5 %,25.8 %,8.3 %,43.6 %,
