Regina — Historical % of Homeowner and Condominium Units Absorbed at Completion by Dwelling Type  
January 1990 to March 2024 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
Jan 1990,83.3 %,**,**,**,83.3 %,
Feb 1990,72.7 %,100.0 %,**,**,76.9 %,
Mar 1990,68.0 %,**,**,**,68.0 %,
Apr 1990,87.5 %,**,**,**,87.5 %,
May 1990,87.2 %,50.0 %,**,**,85.4 %,
Jun 1990,47.1 %,**,**,**,47.1 %,
Jul 1990,90.9 %,100.0 %,80.0 %,**,89.7 %,
Aug 1990,87.5 %,**,**,**,87.5 %,
Sep 1990,80.0 %,**,33.3 %,**,75.0 %,
Oct 1990,94.7 %,**,**,**,94.7 %,
Nov 1990,73.7 %,**,**,**,73.7 %,
Dec 1990,90.0 %,0.0 %,**,**,81.8 %,
Jan 1991,94.1 %,**,66.7 %,**,90.0 %,
Feb 1991,89.5 %,**,66.7 %,**,86.4 %,
Mar 1991,100.0 %,**,**,**,100.0 %,
Apr 1991,100.0 %,**,**,**,100.0 %,
May 1991,92.3 %,**,50.0 %,**,82.4 %,
Jun 1991,77.8 %,**,**,**,77.8 %,
Jul 1991,88.9 %,0.0 %,**,**,72.7 %,
Aug 1991,47.6 %,**,66.7 %,**,50.0 %,
Sep 1991,81.3 %,**,**,**,81.3 %,
Oct 1991,79.2 %,**,**,**,79.2 %,
Nov 1991,82.4 %,**,**,**,82.4 %,
Dec 1991,90.0 %,**,**,**,90.0 %,
Jan 1992,83.3 %,**,**,**,83.3 %,
Feb 1992,100.0 %,**,**,**,100.0 %,
Mar 1992,100.0 %,**,**,**,100.0 %,
Apr 1992,100.0 %,100.0 %,**,**,100.0 %,
May 1992,84.6 %,100.0 %,**,**,86.7 %,
Jun 1992,73.2 %,**,81.8 %,**,75.0 %,
Jul 1992,79.7 %,**,**,91.7 %,81.3 %,
Aug 1992,87.8 %,**,**,**,87.8 %,
Sep 1992,77.5 %,**,**,**,77.5 %,
Oct 1992,95.2 %,**,**,**,95.2 %,
Nov 1992,86.8 %,**,**,**,86.8 %,
Dec 1992,100.0 %,**,**,**,100.0 %,
Jan 1993,86.1 %,100.0 %,33.3 %,**,82.9 %,
Feb 1993,38.5 %,**,**,**,38.5 %,
Mar 1993,90.6 %,**,**,**,90.6 %,
Apr 1993,100.0 %,**,**,**,100.0 %,
May 1993,94.4 %,**,**,**,94.4 %,
Jun 1993,100.0 %,**,**,**,100.0 %,
Jul 1993,84.6 %,**,66.7 %,58.3 %,71.7 %,
Aug 1993,80.7 %,66.7 %,**,**,79.8 %,
Sep 1993,63.6 %,100.0 %,100.0 %,**,67.3 %,
Oct 1993,71.1 %,**,28.6 %,**,65.4 %,
Nov 1993,90.9 %,**,50.0 %,**,84.6 %,
Dec 1993,100.0 %,**,**,**,100.0 %,
Jan 1994,68.2 %,**,**,**,68.2 %,
Feb 1994,100.0 %,**,**,**,100.0 %,
Mar 1994,66.7 %,**,**,**,66.7 %,
Apr 1994,66.7 %,100.0 %,**,**,69.2 %,
May 1994,62.1 %,100.0 %,**,**,64.5 %,
Jun 1994,75.0 %,100.0 %,**,**,76.7 %,
Jul 1994,97.4 %,**,**,**,97.4 %,
Aug 1994,80.0 %,100.0 %,**,**,81.5 %,
Sep 1994,78.2 %,**,**,42.9 %,68.4 %,
Oct 1994,85.2 %,**,0.0 %,**,76.7 %,
Nov 1994,79.2 %,25.0 %,0.0 %,**,67.7 %,
Dec 1994,78.6 %,100.0 %,**,**,80.0 %,
Jan 1995,64.7 %,**,**,**,64.7 %,
Feb 1995,84.2 %,100.0 %,**,**,89.7 %,
Mar 1995,85.0 %,**,**,**,85.0 %,
Apr 1995,70.0 %,**,**,**,70.0 %,
May 1995,73.1 %,**,0.0 %,**,65.5 %,
