Charlottetown — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,7.4,c ,3.6,a ,2.4,a ,3.9,b ,3.0,a ,
1991 October,5.6,d ,5.5,b ,5.0,b ,4.2,d ,5.2,b ,
1992 October,13.0,d ,6.2,c ,4.7,b ,**,,6.4,b ,
1993 October,4.5,d ,4.6,c ,4.8,b ,**,,4.8,b ,
1994 October,**,,4.1,c ,7.1,b ,**,,6.2,b ,
1995 October,**,,6.9,c ,7.5,b ,**,,7.1,b ,
1996 October,**,,3.6,c ,4.4,b ,**,,4.0,b ,
1997 October,**,,5.8,c ,3.5,b ,**,,4.1,b ,
1998 October,**,,5.0,c ,6.9,b ,**,,6.1,b ,
1999 October,**,,4.7,c ,5.6,c ,**,,5.0,b ,
2000 October,**,,4.2,d ,2.1,b ,0.0,c ,2.6,b ,
2001 October,**,,1.9,c ,1.8,b ,**,,1.8,b ,
2002 October,**,,2.8,b ,1.8,b ,**,,2.2,a ,
2003 October,**,,3.7,c ,3.3,c ,**,,3.5,c ,
2004 October,**,,4.0,c ,3.7,c ,**,,4.2,b ,
2005 October,**,,4.1,c ,3.9,c ,**,,4.4,b ,
2006 October,**,,3.5,c ,5.2,b ,**,,4.8,b ,
2007 October,5.6,b ,3.4,a ,4.5,a ,6.5,c ,4.3,a ,
2008 October,4.2,c ,2.0,a ,2.2,a ,3.1,d ,2.3,a ,
2009 October,3.1,d ,4.4,b ,3.1,b ,1.2,d ,3.4,b ,
2010 October,4.2,d ,2.0,b ,2.5,a ,1.1,a ,2.3,a ,
2011 October,2.3,c ,3.6,b ,3.0,a ,5.3,c ,3.3,a ,
2012 October,4.2,d ,3.8,b ,6.2,a ,9.2,c ,5.7,a ,
2013 October,**,,5.9,c ,8.8,a ,9.6,c ,7.9,a ,
2014 October,4.4,d ,5.1,b ,5.9,a ,9.3,c ,5.9,a ,
2015 October,**,,3.6,d ,4.6,c ,3.1,d ,4.2,b ,
2016 October,**,,1.3,a ,1.7,c ,**,,1.7,b ,
2017 October,0.0,c ,1.1,a ,0.9,a ,0.6,b ,0.9,a ,
2018 October,0.0,c ,0.2,b ,0.2,a ,0.0,c ,0.2,a ,
2019 October,**,,1.8,b ,1.0,a ,**,,1.2,a ,
2020 October,**,,3.9,d ,2.3,b ,0.7,b ,2.7,b ,
2021 October,**,,1.5,a ,1.7,c ,0.0,d ,1.6,b ,
2022 October,0.0,d ,1.1,a ,0.8,a ,**,,0.8,a ,
2023 October,0.0,d ,1.0,d ,0.4,b ,0.0,c ,0.5,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
