Oshawa — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,6.0,b ,2.6,a ,1.3,a ,0.5,a ,1.8,a ,
1991 October,8.8,c ,3.2,b ,3.5,b ,1.0,a ,3.4,a ,
1992 October,9.1,c ,6.8,b ,5.6,a ,6.1,c ,6.1,a ,
1993 October,7.4,b ,4.3,b ,4.1,a ,8.1,b ,4.6,a ,
1994 October,5.9,c ,3.1,b ,2.8,a ,7.5,b ,3.4,b ,
1995 October,7.6,b ,2.9,a ,2.4,a ,1.4,a ,2.7,a ,
1996 October,9.1,c ,3.5,b ,3.4,b ,4.6,b ,3.7,a ,
1997 October,4.9,d ,2.6,a ,1.9,a ,3.8,b ,2.4,a ,
1998 October,5.9,d ,2.6,a ,1.6,a ,1.5,a ,2.0,a ,
1999 October,1.5,c ,1.9,a ,1.6,a ,1.7,b ,1.7,a ,
2000 October,4.1,d ,1.5,a ,1.6,a ,2.6,a ,1.7,a ,
2001 October,2.0,c ,1.2,a ,1.3,a ,1.5,b ,1.3,a ,
2002 October,3.8,d ,1.8,a ,2.1,a ,4.7,b ,2.3,a ,
2003 October,**,,3.3,c ,2.9,a ,1.9,c ,2.9,a ,
2004 October,4.2,d ,3.1,b ,3.6,c ,2.5,b ,3.4,b ,
2005 October,2.2,c ,2.7,a ,3.5,b ,4.2,c ,3.3,b ,
2006 October,4.1,d ,4.0,b ,4.2,b ,3.9,c ,4.1,b ,
2007 October,1.8,c ,4.4,b ,3.6,b ,2.8,b ,3.7,a ,
2008 October,3.6,d ,4.1,b ,4.0,a ,5.7,c ,4.2,a ,
2009 October,**,,3.8,b ,4.3,b ,3.8,c ,4.2,a ,
2010 October,2.0,c ,3.6,a ,2.8,a ,2.6,a ,3.0,a ,
2011 October,1.2,d ,2.4,a ,1.6,a ,1.2,a ,1.8,a ,
2012 October,1.2,d ,2.3,a ,2.1,a ,1.8,b ,2.1,a ,
2013 October,1.1,d ,2.4,a ,1.9,a ,2.8,b ,2.1,a ,
2014 October,3.1,d ,1.5,a ,1.9,a ,2.3,a ,1.8,a ,
2015 October,0.9,d ,1.4,a ,2.0,a ,1.3,a ,1.7,a ,
2016 October,**,,1.4,a ,1.7,b ,2.2,c ,1.7,a ,
2017 October,0.4,b ,3.0,b ,1.9,a ,1.1,a ,2.2,a ,
2018 October,0.0,c ,3.9,d ,2.3,a ,1.5,c ,2.7,b ,
2019 October,4.6,d ,2.9,c ,2.1,b ,2.2,b ,2.4,a ,
2020 October,**,,3.1,c ,2.0,b ,1.4,d ,2.3,b ,
2021 October,**,,2.4,b ,2.2,a ,1.8,c ,2.2,a ,
2022 October,**,,2.8,b ,2.7,b ,0.7,a ,2.6,b ,
2023 October,0.0,c ,2.8,c ,1.0,a ,1.1,a ,1.5,b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
