Saskatoon — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Row October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,1.0,d ,4.5,b ,8.0,a ,5.9,b ,
1991 October,**,,0.0,d ,11.3,c ,6.1,a ,7.6,b ,
1992 October,**,,1.9,b ,2.5,a ,2.5,a ,2.4,a ,
1993 October,**,,**,,4.6,d ,0.8,a ,3.1,c ,
1994 October,**,,0.0,d ,1.7,b ,1.2,a ,1.3,a ,
1995 October,**,,0.0,d ,1.3,a ,0.8,a ,0.9,a ,
1996 October,**,,2.1,b ,1.6,a ,0.2,a ,0.9,a ,
1997 October,**,,**,,1.3,a ,1.9,a ,1.8,a ,
1998 October,**,,0.0,d ,1.5,a ,2.2,a ,1.9,a ,
1999 October,**,,0.0,a ,0.6,a ,0.4,a ,0.6,a ,
2000 October,**,,**,,1.5,a ,2.0,a ,1.8,a ,
2001 October,**,,0.0,a ,4.5,a ,2.3,a ,3.1,a ,
2002 October,**,,3.7,a ,5.1,a ,3.8,a ,4.3,a ,
2003 October,**,,0.0,a ,2.3,a ,4.0,a ,3.2,a ,
2004 October,**,,3.7,a ,9.3,a ,6.4,a ,7.6,a ,
2005 October,**,,7.4,a ,6.3,a ,2.6,a ,4.3,a ,
2006 October,**,,0.0,a ,1.4,a ,0.6,a ,0.9,a ,
2007 October,**,,4.0,a ,3.1,a ,1.0,a ,1.9,a ,
2008 October,**,,0.0,a ,3.1,b ,3.7,a ,3.3,a ,
2009 October,**,,3.8,d ,0.6,a ,0.9,a ,0.9,a ,
2010 October,**,,**,,0.3,a ,2.1,a ,1.3,a ,
2011 October,**,,**,,1.0,a ,3.1,c ,2.0,a ,
2012 October,**,,**,,2.0,b ,1.6,a ,1.7,a ,
2013 October,**,,**,,2.4,a ,4.0,a ,3.2,a ,
2014 October,**,,**,,0.8,a ,2.1,a ,1.5,a ,
2015 October,**,,**,,1.9,b ,4.5,a ,3.3,b ,
2016 October,**,,**,,6.5,c ,6.5,a ,6.6,b ,
2017 October,**,,**,,**,,2.7,a ,5.1,c ,
2018 October,**,,**,,7.0,a ,2.1,a ,4.7,b ,
2019 October,**,,**,,6.0,c ,1.8,c ,3.7,c ,
2020 October,**,,**,,2.6,c ,1.9,a ,2.4,c ,
2021 October,**,,3.4,d ,2.7,c ,1.5,a ,2.2,b ,
2022 October,**,,0.0,b ,1.0,a ,0.2,a ,0.6,a ,
2023 October,**,,0.0,b ,3.6,b ,0.8,a ,2.0,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
