Saint John — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Row October
,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1991 October,**,,**,,**,,**,,
1992 October,**,,**,,**,,**,,
1993 October,**,,**,,**,,**,,
1994 October,**,,**,,**,,**,,
1995 October,**,,**,,**,,**,,
1996 October,**,,**,,**,,**,,
1997 October,**,,**,,**,,**,,
1998 October,**,,**,,**,,**,,
1999 October,**,,**,,**,,**,,
2000 October,**,,**,,**,,**,,
2001 October,**,,**,,**,,**,,
2002 October,**,,**,,**,,**,,
2003 October,**,,**,,**,,**,,
2004 October,**,,**,,**,,**,,
2005 October,**,,**,,**,,**,,
2006 October,**,,**,,**,,**,,
2007 October,**,,**,,**,,1.4,a ,
2008 October,**,,**,,**,,2.6,a ,
2009 October,**,,**,,**,,0.0,a ,
2010 October,**,,**,,**,,0.0,a ,
2011 October,**,,**,,**,,4.8,d ,
2012 October,**,,**,,6.5,a ,5.9,b ,
2013 October,**,,**,,8.1,a ,7.4,c ,
2014 October,**,,**,,**,,5.8,d ,
2015 October,**,,**,,1.6,a ,1.5,a ,
2016 October,**,,**,,3.3,a ,1.2,a ,
2017 October,**,,**,,**,,**,,
2018 October,**,,**,,3.3,a ,3.3,a ,
2019 October,**,,**,,2.3,a ,2.1,a ,
2020 October,**,,**,,0.0,a ,**,,
2021 October,**,,**,,**,,**,,
2022 October,**,,**,,2.7,a ,2.5,a ,
2023 October,**,,**,,2.7,a ,2.9,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
