Hamilton — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Row October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,0.0,c ,0.0,b ,0.3,a ,0.2,a ,
1991 October,**,,0.0,a ,1.2,a ,2.2,a ,1.9,a ,
1992 October,**,,**,,1.7,a ,2.5,a ,2.3,a ,
1993 October,**,,0.0,a ,3.8,a ,4.9,a ,4.4,a ,
1994 October,**,,0.0,a ,3.9,a ,2.2,a ,2.6,a ,
1995 October,**,,2.5,a ,5.5,a ,2.2,a ,3.2,a ,
1996 October,**,,**,,7.2,a ,2.9,a ,4.1,a ,
1997 October,**,,**,,9.2,b ,2.8,a ,4.6,a ,
1998 October,**,,**,,9.1,b ,2.4,a ,4.3,a ,
1999 October,**,,**,,0.6,a ,0.9,a ,0.8,a ,
2000 October,**,,**,,1.0,d ,0.6,a ,0.7,a ,
2001 October,**,,**,,1.0,a ,0.7,a ,0.9,a ,
2002 October,**,,1.8,b ,0.8,a ,1.4,a ,1.2,a ,
2003 October,**,,1.8,b ,4.6,d ,2.9,a ,3.3,b ,
2004 October,**,,**,,3.5,c ,4.9,b ,4.3,b ,
2005 October,**,,**,,2.3,c ,3.5,c ,3.1,c ,
2006 October,**,,1.5,a ,1.9,c ,3.1,b ,2.8,a ,
2007 October,**,,**,,3.2,d ,4.7,b ,4.3,b ,
2008 October,**,,**,,0.5,b ,1.3,a ,1.1,a ,
2009 October,**,,**,,4.0,c ,3.8,b ,3.8,b ,
2010 October,**,,**,,1.3,a ,2.7,c ,2.2,c ,
2011 October,**,,**,,2.5,c ,1.7,c ,2.0,b ,
2012 October,**,,0.0,d ,2.2,b ,1.7,b ,1.8,a ,
2013 October,**,,0.0,d ,2.3,a ,3.2,a ,2.9,a ,
2014 October,**,,**,,1.2,a ,2.2,b ,1.9,a ,
2015 October,**,,**,,4.5,d ,1.6,b ,2.3,b ,
2016 October,**,,**,,0.7,b ,1.2,a ,1.0,a ,
2017 October,**,,**,,2.1,b ,0.9,a ,1.3,a ,
2018 October,**,,**,,3.2,d ,1.8,b ,2.3,b ,
2019 October,**,,**,,4.0,d ,1.9,c ,2.5,b ,
2020 October,**,,**,,1.1,a ,1.1,a ,1.2,a ,
2021 October,**,,**,,1.7,c ,2.1,c ,1.9,c ,
2022 October,**,,**,,2.2,c ,1.2,a ,1.6,c ,
2023 October,**,,**,,2.6,b ,1.6,b ,1.9,b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
