Québec — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Row October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1991 October,**,,**,,17.1,a ,15.1,a ,15.9,a ,
1992 October,**,,**,,2.6,a ,5.6,a ,4.2,a ,
1993 October,**,,**,,4.5,a ,7.6,a ,6.2,a ,
1994 October,**,,**,,4.0,a ,6.3,a ,5.2,a ,
1995 October,**,,**,,9.1,a ,11.5,a ,10.4,a ,
1996 October,**,,**,,13.6,a ,11.2,a ,12.3,a ,
1997 October,**,,**,,12.5,a ,15.9,a ,14.4,a ,
1998 October,**,,**,,8.1,a ,5.1,a ,6.5,a ,
1999 October,**,,**,,5.2,a ,4.5,a ,4.8,a ,
2000 October,**,,**,,5.2,a ,6.3,a ,5.8,a ,
2001 October,**,,**,,**,,**,,0.0,c ,
2002 October,**,,**,,0.7,a ,0.0,a ,0.3,a ,
2003 October,**,,**,,0.0,a ,1.2,a ,0.6,a ,
2004 October,**,,**,,0.6,a ,0.6,a ,0.6,a ,
2005 October,**,,**,,0.7,a ,1.2,a ,0.9,a ,
2006 October,**,,**,,3.1,a ,1.8,a ,2.4,a ,
2007 October,**,,**,,1.9,a ,0.6,a ,1.2,a ,
2008 October,**,,**,,0.0,a ,2.8,a ,1.8,a ,
2009 October,**,,**,,3.2,b ,1.4,a ,2.2,a ,
2010 October,**,,**,,1.9,a ,2.0,a ,1.9,a ,
2011 October,**,,**,,1.2,a ,0.5,a ,0.8,a ,
2012 October,**,,**,,1.2,a ,1.0,a ,1.1,a ,
2013 October,**,,**,,1.9,a ,2.5,a ,2.2,a ,
2014 October,**,,**,,3.8,c ,2.4,a ,3.3,c ,
2015 October,**,,**,,4.5,b ,2.4,a ,3.3,a ,
2016 October,**,,**,,4.1,c ,2.6,a ,3.2,b ,
2017 October,**,,**,,3.6,b ,0.7,a ,2.0,a ,
2018 October,**,,**,,2.7,b ,2.3,b ,2.5,b ,
2019 October,**,,**,,0.6,b ,1.0,a ,**,,
2020 October,**,,**,,0.0,d ,0.0,d ,0.0,d ,
2021 October,**,,**,,0.0,d ,0.0,d ,0.0,d ,
2022 October,**,,**,,0.7,a ,0.7,b ,0.7,b ,
2023 October,**,,0.0,a ,0.5,a ,0.2,a ,0.2,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
