Moncton — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Row October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,12.8,a ,**,,10.3,a ,
1991 October,**,,**,,2.9,a ,0.0,a ,2.2,a ,
1992 October,**,,**,,3.3,a ,**,,2.5,a ,
1993 October,**,,**,,3.3,a ,**,,2.5,a ,
1994 October,**,,**,,18.6,a ,**,,15.4,a ,
1995 October,**,,**,,0.8,a ,**,,0.6,a ,
1996 October,**,,**,,4.1,a ,11.4,a ,5.6,a ,
1997 October,**,,**,,6.5,a ,5.7,a ,6.2,a ,
1998 October,**,,**,,4.2,b ,21.4,a ,8.6,b ,
1999 October,**,,**,,11.5,c ,7.8,a ,10.5,c ,
2000 October,**,,**,,3.9,c ,2.4,a ,3.5,c ,
2001 October,**,,**,,0.7,a ,0.0,a ,0.5,a ,
2002 October,**,,**,,2.0,a ,2.2,a ,1.9,a ,
2003 October,**,,**,,0.6,a ,6.6,a ,2.0,c ,
2004 October,**,,**,,10.5,c ,11.1,a ,8.6,b ,
2005 October,**,,**,,6.3,b ,**,,4.6,b ,
2006 October,**,,2.1,a ,4.2,a ,0.0,a ,2.9,a ,
2007 October,**,,0.0,a ,0.0,a ,0.0,a ,0.0,a ,
2008 October,**,,2.1,a ,0.5,a ,0.0,a ,0.7,a ,
2009 October,**,,0.0,a ,7.1,a ,0.0,a ,5.1,a ,
2010 October,**,,0.0,a ,5.5,a ,0.0,a ,4.0,a ,
2011 October,**,,6.5,a ,5.5,a ,0.0,a ,5.1,a ,
2012 October,**,,4.7,c ,4.9,c ,4.5,a ,4.8,b ,
2013 October,**,,**,,10.7,d ,**,,7.8,c ,
2014 October,**,,**,,6.7,c ,**,,5.9,d ,
2015 October,**,,**,,8.7,c ,**,,7.1,c ,
2016 October,**,,**,,**,,**,,**,,
2017 October,**,,**,,**,,**,,**,,
2018 October,**,,2.6,c ,**,,**,,**,,
2019 October,**,,5.8,d ,0.0,c ,**,,0.9,a ,
2020 October,**,,3.8,b ,**,,**,,1.9,c ,
2021 October,**,,**,,0.6,b ,**,,1.9,b ,
2022 October,**,,**,,0.0,d ,**,,0.0,d ,
2023 October,**,,**,,1.4,d ,**,,1.2,d ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
