Trois-Rivières — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Row October
,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1994 October,**,,**,,**,,**,,
1995 October,**,,17.1,d ,**,,14.3,a ,
1996 October,**,,0.0,a ,**,,0.0,a ,
1997 October,**,,15.0,a ,**,,15.0,a ,
1998 October,**,,0.0,a ,**,,0.0,a ,
1999 October,**,,0.0,a ,**,,0.0,a ,
2000 October,**,,0.0,a ,**,,0.0,a ,
2001 October,**,,0.0,a ,**,,0.0,a ,
2002 October,**,,0.0,a ,**,,0.0,a ,
2003 October,**,,0.0,a ,**,,0.0,a ,
2004 October,**,,0.0,a ,**,,0.0,a ,
2005 October,**,,0.0,a ,**,,0.0,a ,
2006 October,**,,13.3,a ,**,,9.5,a ,
2007 October,**,,0.0,a ,**,,0.0,a ,
2008 October,**,,0.0,a ,**,,0.0,a ,
2009 October,**,,4.2,a ,**,,3.9,a ,
2010 October,**,,**,,**,,**,,
2011 October,**,,**,,**,,0.0,d ,
2012 October,**,,4.7,a ,**,,3.9,a ,
2013 October,**,,2.8,c ,0.0,a ,1.9,b ,
2014 October,**,,0.0,a ,6.3,a ,1.9,a ,
2015 October,**,,0.0,a ,6.3,a ,1.7,a ,
2016 October,**,,**,,6.3,a ,1.6,c ,
2017 October,**,,0.0,c ,6.3,a ,1.6,c ,
2018 October,**,,0.0,c ,**,,0.0,d ,
2019 October,**,,0.0,c ,**,,0.0,d ,
2020 October,**,,0.0,d ,0.0,a ,0.0,d ,
2021 October,**,,0.0,c ,0.0,a ,0.0,c ,
2022 October,**,,0.0,d ,**,,0.0,d ,
2023 October,**,,0.0,d ,**,,0.0,d ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
