Greater Sudbury / Grand Sudbury — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Row October
,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,0.0,d ,0.3,a ,0.3,a ,
1991 October,**,,0.5,a ,0.1,b ,0.2,a ,
1992 October,**,,2.9,a ,0.6,a ,1.5,a ,
1993 October,**,,1.5,a ,3.0,a ,2.5,a ,
1994 October,**,,4.4,b ,1.1,a ,2.2,a ,
1995 October,**,,6.6,a ,3.1,a ,4.0,a ,
1996 October,**,,8.5,b ,6.2,a ,6.8,a ,
1997 October,**,,8.5,b ,12.2,a ,11.2,a ,
1998 October,**,,7.7,b ,10.0,a ,9.5,a ,
1999 October,**,,12.0,c ,11.5,a ,11.9,c ,
2000 October,**,,11.5,d ,18.2,a ,16.5,a ,
2001 October,**,,4.9,c ,9.7,a ,8.5,a ,
2002 October,**,,6.6,a ,4.0,a ,4.7,a ,
2003 October,**,,0.7,a ,1.1,a ,1.0,a ,
2004 October,**,,0.7,a ,0.9,a ,0.9,a ,
2005 October,**,,0.0,b ,2.0,a ,1.6,a ,
2006 October,**,,1.0,a ,1.2,a ,1.1,a ,
2007 October,**,,0.7,a ,0.3,a ,0.4,a ,
2008 October,**,,0.7,a ,0.0,b ,0.2,a ,
2009 October,**,,1.4,a ,1.8,b ,2.0,c ,
2010 October,**,,0.7,b ,1.6,a ,1.3,a ,
2011 October,**,,1.9,b ,1.8,a ,1.8,a ,
2012 October,**,,0.5,a ,1.3,a ,1.0,a ,
2013 October,**,,1.5,c ,1.8,a ,1.8,b ,
2014 October,0.0,a ,2.2,b ,4.1,c ,3.3,c ,
2015 October,**,,2.0,c ,5.1,c ,3.8,c ,
2016 October,0.0,a ,1.7,b ,6.3,b ,4.5,c ,
2017 October,**,,2.5,a ,2.6,b ,2.5,a ,
2018 October,**,,0.8,a ,4.8,d ,2.7,b ,
2019 October,**,,0.9,a ,2.6,b ,1.7,a ,
2020 October,**,,1.4,a ,2.3,c ,1.8,b ,
2021 October,**,,0.2,b ,**,,0.7,b ,
2022 October,**,,**,,0.4,b ,**,,
2023 October,**,,0.8,a ,0.2,b ,0.5,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
