Oshawa — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Row October
,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,6.4,a ,4.9,a ,5.0,a ,
1991 October,**,,7.8,a ,3.2,a ,3.6,a ,
1992 October,**,,11.5,a ,4.9,a ,5.4,a ,
1993 October,**,,11.2,a ,4.1,a ,4.7,a ,
1994 October,**,,3.0,a ,2.4,a ,2.4,a ,
1995 October,**,,4.5,a ,3.0,a ,3.1,a ,
1996 October,**,,**,,6.7,c ,6.9,c ,
1997 October,**,,**,,3.6,b ,3.8,b ,
1998 October,**,,3.7,a ,2.2,a ,2.3,a ,
1999 October,**,,1.3,a ,0.7,a ,0.7,a ,
2000 October,**,,**,,1.1,a ,1.1,a ,
2001 October,**,,3.9,a ,0.8,a ,1.0,a ,
2002 October,**,,**,,2.3,b ,2.0,c ,
2003 October,**,,**,,4.3,d ,4.1,d ,
2004 October,**,,**,,5.1,c ,4.8,c ,
2005 October,**,,**,,1.8,a ,1.9,a ,
2006 October,**,,**,,4.0,d ,4.2,c ,
2007 October,**,,0.0,a ,5.1,b ,4.7,b ,
2008 October,**,,**,,4.1,c ,3.9,c ,
2009 October,**,,1.9,a ,3.9,a ,3.7,a ,
2010 October,**,,10.9,a ,3.5,b ,3.8,a ,
2011 October,**,,0.0,a ,1.2,a ,1.1,a ,
2012 October,**,,**,,2.4,a ,2.2,a ,
2013 October,**,,**,,0.5,b ,0.5,b ,
2014 October,**,,4.9,a ,1.7,a ,1.8,a ,
2015 October,**,,3.5,a ,1.5,a ,1.6,a ,
2016 October,**,,0.0,a ,0.9,a ,0.8,a ,
2017 October,**,,1.7,b ,0.8,a ,0.8,a ,
2018 October,**,,**,,2.4,a ,2.1,a ,
2019 October,**,,**,,0.7,a ,0.7,a ,
2020 October,**,,0.0,a ,0.5,b ,0.4,b ,
2021 October,**,,**,,0.5,b ,1.1,a ,
2022 October,**,,**,,0.8,a ,0.8,a ,
2023 October,**,,**,,1.1,a ,1.3,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
