Sherbrooke — Historical Vacancy Rates by Bedroom Type  
2007 to 2023 Row October
,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2007 October,**,,0.0,a ,10.0,a ,1.6,a ,
2008 October,**,,2.1,a ,0.0,a ,1.5,a ,
2009 October,**,,0.0,a ,0.0,a ,0.0,a ,
2010 October,**,,2.1,a ,7.7,a ,2.8,a ,
2011 October,**,,0.0,a ,0.0,a ,0.0,a ,
2012 October,**,,0.0,a ,**,,0.0,c ,
2013 October,**,,2.1,a ,0.0,a ,1.4,a ,
2014 October,**,,0.0,a ,0.0,a ,0.0,a ,
2015 October,**,,0.0,c ,0.0,a ,0.0,c ,
2016 October,**,,0.0,c ,7.1,a ,1.3,a ,
2017 October,**,,0.0,d ,0.0,a ,0.0,c ,
2018 October,**,,0.0,c ,**,,0.0,c ,
2019 October,**,,0.0,c ,0.0,a ,0.0,c ,
2020 October,**,,0.0,d ,0.0,a ,0.0,c ,
2021 October,**,,1.8,c ,**,,1.3,d ,
2022 October,**,,0.0,d ,**,,0.0,d ,
2023 October,0.0,a ,0.0,d ,3.8,c ,1.0,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
