"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Single and multiple residential property owners: Demographic data and value of properties owned, inactive","46100038",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=4610003801",1;2;20;21;36,"ARCHIVED -  a cube publicly available but no longer being updated","Occasional","2018-01-01","2022-01-01","5",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",2,""
"2","Owner-occupied property type",4,""
"3","Number of residential properties owned",8,""
"4","Sex of property owner",,""
"5","Estimates",21,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Cape Breton, Census agglomeration (CA)","[225]","841","1","",,
"1","Kentville, Census agglomeration (CA)","[210]","842","1","",,
"1","New Glasgow, Census agglomeration (CA)","[220]","843","1","",,
"1","Truro, Census agglomeration (CA)","[215]","844","1","",,
"1","Halifax, Census metropolitan area (CMA)","[205]","2","1","",,
"1","Outside of census metropolitan areas (CMAs) and census agglomerations (CAs), Nova Scotia","","4","1","",,
"1","Halifax, Regional municipality","[1209034]","3","2","",,
"1","St. Mary's, Municipal district","[1213001]","61","4","",,
"1","Stewiacke, Town","[1210002]","63","4","",,
"1","Victoria, Subd. A, Subdivision of county municipality","[1218006]","66","4","",,
"1","Victoria, Subd. B, Subdivision of county municipality","[1218001]","67","4","",,
"1","West Hants, Municipal district","[1208001]","68","4","",,
"1","Windsor, Town","[1208002]","70","4","",,
"1","Wolfville, Town","[1207024]","71","4","",,
"1","Yarmouth, Municipal district","[1202004]","72","4","",,
"1","Yarmouth, Town","[1202006]","73","4","",,
"1","Oxford, Town","[1211012]","48","4","",,
"1","Parrsboro, Town","[1211002]","49","4","",,
"1","Pictou, Town","[1212004]","50","4","",,
"1","Pictou, Subd. A, Subdivision of county municipality","[1212001]","51","4","",,
"1","Port Hawkesbury, Town","[1215002]","54","4","",,
"1","Queens, Regional municipality","[1204010]","55","4","",,
"1","Richmond, Subd. A, Subdivision of county municipality","[1216006]","56","4","",,
"1","Richmond, Subd. B, Subdivision of county municipality","[1216011]","57","4","",,
"1","Richmond, Subd. C, Subdivision of county municipality","[1216001]","58","4","",,
"1","Shelburne, Municipal district","[1201006]","59","4","",,
"1","Shelburne, Town","[1201008]","60","4","",,
"1","Annapolis, Subd. D, Subdivision of county municipality","[1205001]","10","4","",,
"1","Antigonish, Town","[1214002]","11","4","",,
"1","Antigonish, Subd. A, Subdivision of county municipality","[1214001]","12","4","",,
"1","Antigonish, Subd. B, Subdivision of county municipality","[1214006]","13","4","",,
"1","Argyle, Municipal district","[1202001]","14","4","",,
"1","Barrington, Municipal district","[1201001]","15","4","",,
"1","Berwick, Town","[1207004]","16","4","",,
"1","Bridgewater, Town","[1206004]","17","4","",,
"1","Chester, Municipal district","[1206009]","19","4","",,
